#dataset: GeoCSV 2.0
#delimiter: |
#field_unit: unitless|unitless|unitless|unitless|unitless|hertz|ISO_8601|ISO_8601
#field_type: string|string|string|string|string|float|datetime|datetime
Network|Station|Location|Channel|Quality|SampleRate|Earliest|Latest
2A|BBS09||HHE|M|100.0|2018-02-24T23:56:02.000000Z|2018-02-25T00:18:57.990000Z
2A|BBS09||HHN|M|100.0|2018-01-05T06:06:45.000000Z|2018-01-22T12:00:00.990000Z
2A|BBS09||HHN|M|100.0|2018-02-07T05:12:50.000000Z|2018-02-07T05:17:19.990000Z
2A|BBS09||HHN|M|100.0|2018-02-07T05:26:46.000000Z|2018-02-07T05:30:56.990000Z
2A|BBS09||HHN|M|100.0|2018-02-07T05:31:23.000000Z|2018-02-23T05:56:02.990000Z
2A|BBS09||HHN|M|100.0|2018-02-23T05:56:58.000000Z|2018-02-23T06:00:54.990000Z
2A|BBS09||HHN|M|100.0|2018-02-23T06:01:10.000000Z|2018-02-23T06:55:54.990000Z
2A|BBS09||HHN|M|100.0|2018-02-23T06:57:02.000000Z|2018-02-23T23:06:54.990000Z
2A|BBS09||HHN|M|100.0|2018-02-23T23:12:57.000000Z|2018-02-23T23:18:56.990000Z
2A|BBS09||HHN|M|100.0|2018-02-23T23:19:01.000000Z|2018-02-24T21:42:42.990000Z
2A|BBS09||HHN|M|100.0|2018-02-24T23:16:13.000000Z|2018-02-24T23:19:55.990000Z
2A|BBS09||HHN|M|100.0|2018-02-24T23:20:01.000000Z|2018-02-24T23:26:15.990000Z
2A|BBS09||HHN|M|100.0|2018-02-24T23:51:42.000000Z|2018-02-24T23:56:01.990000Z
2A|BBS09||HHN|M|100.0|2018-02-24T23:56:04.000000Z|2018-02-25T00:18:57.990000Z
2A|BBS09||HHZ|M|100.0|2018-01-05T06:06:45.000000Z|2018-01-22T06:00:01.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-07T05:12:50.000000Z|2018-02-07T05:17:26.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-07T05:26:42.000000Z|2018-02-07T05:30:56.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-07T05:31:23.000000Z|2018-02-23T05:55:59.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-23T05:57:04.000000Z|2018-02-23T06:00:52.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-23T06:01:10.000000Z|2018-02-23T06:55:57.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-23T06:57:03.000000Z|2018-02-23T23:07:02.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-23T23:12:54.000000Z|2018-02-23T23:18:59.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-23T23:19:04.000000Z|2018-02-24T21:42:43.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-24T23:16:21.000000Z|2018-02-24T23:19:57.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-24T23:20:01.000000Z|2018-02-24T23:26:22.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-24T23:51:49.000000Z|2018-02-24T23:55:59.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-24T23:56:02.000000Z|2018-02-25T00:18:55.990000Z
2A|REF01||GLE|M|1000.0|2017-12-30T00:00:00.000000Z|2018-01-03T23:59:59.999000Z
2A|REF01||GLE|M|1000.0|2018-01-05T00:00:00.000000Z|2018-01-05T11:59:59.947000Z
2A|REF01||GLE|M|1000.0|2018-01-05T12:00:00.000000Z|2018-01-07T14:59:59.967000Z
2A|REF01||GLE|M|1000.0|2018-01-07T15:00:00.000000Z|2018-01-14T07:59:59.949000Z
2A|REF01||GLE|M|1000.0|2018-01-14T08:00:00.000000Z|2018-01-15T21:59:59.949000Z
2A|REF01||GLE|M|1000.0|2018-01-15T22:00:00.000000Z|2018-01-19T03:59:59.959000Z
2A|REF01||GLE|M|1000.0|2018-01-19T04:00:00.000000Z|2018-01-20T20:59:59.955000Z
2A|REF01||GLE|M|1000.0|2018-01-20T21:00:00.000000Z|2018-01-23T17:59:59.981000Z
2A|REF01||GLE|M|1000.0|2018-01-23T18:00:00.000000Z|2018-01-24T02:59:59.987000Z
2A|REF01||GLE|M|1000.0|2018-01-24T03:00:00.000000Z|2018-01-24T12:59:59.941000Z
2A|REF01||GLE|M|1000.0|2018-01-24T13:00:00.000000Z|2018-01-25T10:41:23.749000Z
2A|REF01||GLN|M|1000.0|2017-12-30T00:00:00.000000Z|2018-01-02T07:59:59.977000Z
2A|REF01||GLN|M|1000.0|2018-01-02T08:00:00.000000Z|2018-01-03T07:59:59.979000Z
2A|REF01||GLN|M|1000.0|2018-01-03T08:00:00.000000Z|2018-01-03T23:59:59.999000Z
2A|REF01||GLN|M|1000.0|2018-01-05T00:00:00.000000Z|2018-01-05T04:59:59.979000Z
2A|REF01||GLN|M|1000.0|2018-01-05T05:00:00.000000Z|2018-01-10T13:59:59.983000Z
2A|REF01||GLN|M|1000.0|2018-01-10T14:00:00.000000Z|2018-01-14T14:59:59.995000Z
2A|REF01||GLN|M|1000.0|2018-01-14T15:00:00.000000Z|2018-01-14T16:59:59.981000Z
2A|REF01||GLN|M|1000.0|2018-01-14T17:00:00.000000Z|2018-01-21T02:59:59.959000Z
2A|REF01||GLN|M|1000.0|2018-01-21T03:00:00.000000Z|2018-01-22T09:59:59.971000Z
2A|REF01||GLN|M|1000.0|2018-01-22T10:00:00.000000Z|2018-01-25T10:41:23.749000Z
2A|REF01||GLZ|M|1000.0|2017-12-30T00:00:00.000000Z|2018-01-03T23:59:59.999000Z
2A|REF01||GLZ|M|1000.0|2018-01-05T00:00:00.000000Z|2018-01-06T03:59:59.951000Z
2A|REF01||GLZ|M|1000.0|2018-01-06T04:00:00.000000Z|2018-01-07T10:59:59.975000Z
2A|REF01||GLZ|M|1000.0|2018-01-07T11:00:00.000000Z|2018-01-11T17:59:59.983000Z
2A|REF01||GLZ|M|1000.0|2018-01-11T18:00:00.000000Z|2018-01-13T00:59:59.961000Z
2A|REF01||GLZ|M|1000.0|2018-01-13T01:00:00.000000Z|2018-01-13T20:59:59.983000Z
2A|REF01||GLZ|M|1000.0|2018-01-13T21:00:00.000000Z|2018-01-15T08:59:59.961000Z
2A|REF01||GLZ|M|1000.0|2018-01-15T09:00:00.000000Z|2018-01-16T01:59:59.949000Z
2A|REF01||GLZ|M|1000.0|2018-01-16T02:00:00.000000Z|2018-01-16T11:59:59.967000Z
2A|REF01||GLZ|M|1000.0|2018-01-16T12:00:00.000000Z|2018-01-21T13:59:59.965000Z
2A|REF01||GLZ|M|1000.0|2018-01-21T14:00:00.000000Z|2018-01-22T10:59:59.983000Z
2A|REF01||GLZ|M|1000.0|2018-01-22T11:00:00.000000Z|2018-01-22T14:59:59.991000Z
2A|REF01||GLZ|M|1000.0|2018-01-22T15:00:00.000000Z|2018-01-23T11:59:59.979000Z
2A|REF01||GLZ|M|1000.0|2018-01-23T12:00:00.000000Z|2018-01-25T10:41:24.499000Z
2A|REF02||GLE|M|1000.0|2017-12-30T00:00:00.000000Z|2018-01-03T23:59:59.999000Z
2A|REF02||GLE|M|1000.0|2018-01-05T00:00:00.000000Z|2018-01-06T12:59:59.993000Z
2A|REF02||GLE|M|1000.0|2018-01-06T13:00:00.000000Z|2018-01-12T06:59:59.963000Z
2A|REF02||GLE|M|1000.0|2018-01-12T07:00:00.000000Z|2018-01-27T04:33:38.749000Z
2A|REF02||GLN|M|1000.0|2017-12-30T00:00:00.000000Z|2018-01-03T23:59:59.999000Z
2A|REF02||GLN|M|1000.0|2018-01-05T00:00:00.000000Z|2018-01-27T04:33:38.749000Z
2A|REF02||GLZ|M|1000.0|2017-12-30T00:00:00.000000Z|2018-01-03T23:59:59.999000Z
2A|REF02||GLZ|M|1000.0|2018-01-05T00:00:00.000000Z|2018-01-13T08:59:59.941000Z
2A|REF02||GLZ|M|1000.0|2018-01-13T09:00:00.000000Z|2018-01-15T17:59:59.947000Z
2A|REF02||GLZ|M|1000.0|2018-01-15T18:00:00.000000Z|2018-01-27T04:33:39.499000Z
