,Network,Station,Location,Channel,Start,End
62,2A,REF03,,GLE,2018-01-03T00:00:00.000000Z,2018-01-03T23:59:59.999000Z
63,2A,REF03,,GLN,2018-01-03T00:00:00.000000Z,2018-01-03T23:59:59.999000Z
64,2A,REF03,,GLZ,2018-01-03T00:00:00.000000Z,2018-01-03T23:59:59.999000Z
65,2A,REF04,,GLE,2018-01-03T00:00:00.000000Z,2018-01-03T17:59:59.937000Z
66,2A,REF04,,GLE,2018-01-03T18:00:00.000000Z,2018-01-03T23:59:59.999000Z
67,2A,REF04,,GLN,2018-01-03T00:00:00.000000Z,2018-01-03T13:59:59.980000Z
68,2A,REF04,,GLN,2018-01-03T14:00:00.000000Z,2018-01-03T23:59:59.999000Z
69,2A,REF04,,GLZ,2018-01-03T00:00:00.000000Z,2018-01-03T23:59:59.999000Z
70,2A,REF07,,GLE,2018-01-03T00:00:00.000000Z,2018-01-03T23:59:59.999000Z
71,2A,REF07,,GLN,2018-01-03T00:00:00.000000Z,2018-01-03T23:59:59.999000Z
72,2A,REF07,,GLZ,2018-01-03T00:00:00.000000Z,2018-01-03T23:59:59.999000Z
73,2A,REF08,,GLE,2018-01-03T00:00:00.000000Z,2018-01-04T00:00:00.000000Z
74,2A,REF08,,GLN,2018-01-03T00:00:00.000000Z,2018-01-04T00:00:00.000000Z
75,2A,REF08,,GLZ,2018-01-03T00:00:00.000000Z,2018-01-04T00:00:00.000000Z
76,2A,REF10,,GLE,2018-01-03T00:00:00.000000Z,2018-01-03T17:59:59.973000Z
77,2A,REF10,,GLE,2018-01-03T18:00:00.000000Z,2018-01-04T00:00:00.000000Z
78,2A,REF10,,GLN,2018-01-03T00:00:00.000000Z,2018-01-03T05:59:59.939000Z
79,2A,REF10,,GLN,2018-01-03T06:00:00.000000Z,2018-01-04T00:00:00.000000Z
80,2A,REF10,,GLZ,2018-01-03T00:00:00.000000Z,2018-01-03T00:59:59.955000Z
81,2A,REF10,,GLZ,2018-01-03T01:00:00.000000Z,2018-01-04T00:00:00.000000Z
82,2A,BBS05,,HHE,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
83,2A,BBS05,,HHN,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
84,2A,BBS05,,HHZ,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
85,2A,BBS06,,HHE,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
86,2A,BBS06,,HHN,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
87,2A,BBS06,,HHZ,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
88,2A,REF01,,GLE,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
89,2A,REF01,,GLN,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
90,2A,REF01,,GLZ,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
91,2A,REF02,,GLE,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
92,2A,REF02,,GLN,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
93,2A,REF02,,GLZ,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
94,2A,REF03,,GLE,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
95,2A,REF03,,GLN,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
96,2A,REF03,,GLZ,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
97,2A,REF04,,GLE,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
98,2A,REF04,,GLN,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
99,2A,REF04,,GLZ,2018-01-05T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
100,2A,REF07,,GLE,2018-01-04T13:00:00.000000Z,2018-01-05T00:00:00.000000Z
101,2A,REF07,,GLN,2018-01-04T13:00:00.000000Z,2018-01-05T00:00:00.000000Z
102,2A,REF07,,GLZ,2018-01-04T13:00:00.000000Z,2018-01-05T00:00:00.000000Z
103,2A,REF08,,GLE,2018-01-04T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
104,2A,REF08,,GLN,2018-01-04T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
105,2A,REF08,,GLZ,2018-01-04T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
106,2A,REF10,,GLE,2018-01-04T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
107,2A,REF10,,GLN,2018-01-04T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
108,2A,REF10,,GLZ,2018-01-04T00:00:00.000000Z,2018-01-05T00:00:00.000000Z
109,2A,REF11,,GLE,2018-01-04T06:57:42.000000Z,2018-01-05T00:00:00.000000Z
110,2A,REF11,,GLN,2018-01-04T06:57:42.000000Z,2018-01-04T11:59:59.957000Z
111,2A,REF11,,GLN,2018-01-04T12:00:00.000000Z,2018-01-05T00:00:00.000000Z
112,2A,REF11,,GLZ,2018-01-04T06:57:42.000000Z,2018-01-04T07:59:59.962000Z
113,2A,REF11,,GLZ,2018-01-04T08:00:00.000000Z,2018-01-04T17:59:59.975000Z
114,2A,REF11,,GLZ,2018-01-04T18:00:00.000000Z,2018-01-05T00:00:00.000000Z
115,2A,BBS05,,HHE,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
116,2A,BBS05,,HHN,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
117,2A,BBS05,,HHZ,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
118,2A,BBS06,,HHE,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
119,2A,BBS06,,HHN,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
120,2A,BBS06,,HHZ,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
121,2A,BBS09,,HHE,2018-01-05T06:06:43.000000Z,2018-01-06T00:00:00.000000Z
122,2A,BBS09,,HHN,2018-01-05T06:06:45.000000Z,2018-01-06T00:00:00.000000Z
123,2A,BBS09,,HHZ,2018-01-05T06:06:45.000000Z,2018-01-06T00:00:00.000000Z
124,2A,REF01,,GLE,2018-01-05T00:00:00.000000Z,2018-01-05T11:59:59.947000Z
125,2A,REF01,,GLE,2018-01-05T12:00:00.000000Z,2018-01-06T00:00:00.000000Z
126,2A,REF01,,GLN,2018-01-05T00:00:00.000000Z,2018-01-05T04:59:59.979000Z
127,2A,REF01,,GLN,2018-01-05T05:00:00.000000Z,2018-01-06T00:00:00.000000Z
128,2A,REF01,,GLZ,2018-01-05T00:00:00.000000Z,2018-01-06T00:00:00.000000Z
