event_id,amplitude,med_freq,duration,energy,mean_freq
20180106T000046Z,3.978290814142262e-06,5.6640625,8.651988,2.4213206891758024e-13,5.032362221254559
20180106T000201Z,2.129879244601404e-06,2.5390625,1.581989,6.961702976087142e-14,3.582347626168706
20180106T000316Z,1.9266758663923525e-06,4.4921875,1.521989,7.231215660329777e-14,5.268140217880086
20180106T000328Z,1.5398001719404894e-06,5.859375,0.661988,3.865128851161931e-14,6.231916010842347
20180106T000345Z,5.392612217150477e-06,7.6171875,6.091988,5.957610125733715e-13,8.278892733577162
20180106T000358Z,1.103399852435574e-05,7.2265625,11.121988,1.853785161807397e-12,7.761655146624276
20180106T000530Z,1.9655501650992292e-05,3.7109375,13.841988,5.86481459698286e-12,4.2623904858254456
20180106T000602Z,2.399295513702682e-06,8.59375,1.161989,9.253850265497775e-14,9.145339382727508
20180106T000627Z,3.0436474669744263e-06,4.1015625,1.431989,1.4930412697793482e-13,4.591460967773863
20180106T000641Z,1.3268326263804514e-05,6.0546875,3.951989,2.879917197720921e-12,6.394493661945672
20180106T000658Z,5.211076873425196e-06,4.4921875,1.161989,3.896586310469269e-13,5.147995402079439
20180106T000730Z,3.5389832555233735e-06,3.125,1.271989,2.0347754312969393e-13,3.4902886826067636
20180106T000749Z,6.517371160587052e-06,3.125,5.081989,7.323920752770497e-13,3.3803395732035555
20180106T000819Z,3.468684254651633e-06,3.3203125,1.911988,1.8370097641163425e-13,3.701488899600139
20180106T000847Z,1.185186195510981e-06,0.9765625,1.461989,3.5367255179011005e-14,5.618162985518221
20180106T000917Z,0.00020280402440414757,16.9921875,15.011988,8.034109181382935e-10,19.596274287319766
20180106T000942Z,8.313849420755226e-06,0.78125,1.741989,1.1036397647890662e-12,3.87176410857552
20180106T001007Z,1.7197411107281168e-06,1.7578125,0.851988,5.6673255014167753e-14,5.714136558435008
20180106T001039Z,1.4021234843214996e-06,5.6640625,1.001989,3.368739757772865e-14,6.606225752978737
20180106T001106Z,9.576035544234154e-06,4.1015625,4.461988,1.547214048156061e-12,4.9594578521405115
20180106T001257Z,7.075620930340331e-06,11.5234375,3.061989,1.2183892395505294e-12,13.66894191762096
20180106T001441Z,9.661214155138534e-06,4.6875,7.181988,2.116305155583207e-12,6.840328320686467
20180106T001456Z,2.116355000383152e-06,3.90625,0.911989,9.557864956145701e-14,12.18113308586661
20180106T001542Z,3.487345933168975e-05,10.3515625,10.941988,2.7139613110841817e-11,11.843733854298625
20180106T001619Z,5.0515466761376845e-06,6.0546875,3.961989,4.649450905465389e-13,7.50085881900647
20180106T001746Z,1.0520065149352844e-05,4.1015625,12.231989,1.7507587606009365e-12,4.52598987214888
20180106T001830Z,2.6749000417884937e-06,4.6875,1.241989,1.1065665699963843e-13,5.408451682295381
20180106T001953Z,4.743242156417888e-06,11.9140625,2.651988,3.4449987597856867e-13,11.744389578779169
20180106T002044Z,2.229593197902427e-06,5.078125,3.291989,8.435070018381949e-14,5.547264676661738
20180106T002056Z,3.308999811797919e-06,2.734375,10.871988,1.9219160317981332e-13,3.3741941003093925
20180106T002127Z,2.895745924179377e-06,5.2734375,1.621989,1.3331544937685878e-13,6.086758306705357
20180106T002228Z,1.8595558128519531e-06,5.6640625,1.421989,5.590405533858653e-14,6.166003340051361
20180106T002248Z,5.537943224685299e-06,6.0546875,4.431988,4.628981677084807e-13,5.962706951878455
20180106T002411Z,1.5121777445081013e-05,8.203125,11.101989,3.682911507228159e-12,8.28657933356933
20180106T002429Z,1.9218185249567024e-06,3.7109375,0.701988,7.823319138728395e-14,4.872807314211429
20180106T002451Z,6.23865272952346e-06,3.3203125,2.751989,6.736090733802247e-13,4.155413673375644
20180106T002535Z,1.7242246573854147e-06,0.78125,2.621988,4.981223949490863e-14,3.0425736231310196
20180106T002601Z,3.2337419192335394e-06,3.90625,1.661989,1.7432751598787196e-13,5.3599314785017675
20180106T002728Z,1.9314731522074857e-05,4.8828125,14.911988,5.880568328099622e-12,6.2588729739168745
20180106T002821Z,9.885187382010935e-06,7.2265625,3.531988,1.6817765034578716e-12,7.9450592132250355
20180106T002917Z,1.645957520286294e-06,8.984375,1.051989,4.76213031386116e-14,8.295629462179212
20180106T002929Z,1.2139128290226222e-05,4.6875,5.891988,2.3368727749580088e-12,5.264045103195269
20180106T002956Z,5.3029507797195386e-06,4.6875,2.311989,4.560743792129506e-13,4.766151886074239
20180106T003055Z,2.6201844805290427e-06,3.515625,1.881988,1.1548076583786051e-13,3.757236268003214
20180106T003151Z,1.0475671156251042e-05,5.078125,8.241989,1.6927163875001426e-12,6.416082715201052
20180106T003238Z,2.3412877675301856e-06,4.4921875,1.441988,9.707231182867044e-14,5.069921088180378
20180106T003500Z,3.1628907790515398e-06,5.46875,3.851988,1.6303395693312138e-13,6.405667419148151
20180106T003814Z,1.786173395058743e-05,2.5390625,27.341988,4.869738692521846e-12,3.963599148862184
20180106T003905Z,4.5500967244635583e-05,6.8359375,13.531989,3.231685973132824e-11,7.603555820895972
20180106T003954Z,5.353837466676081e-06,3.90625,1.781989,4.442841045227311e-13,4.092429298996284
20180106T004041Z,5.159552182616642e-06,5.2734375,4.541988,3.957600847600712e-13,5.797172416711718
20180106T004148Z,1.6896906804069157e-06,1.5625,0.781988,5.707670225014614e-14,6.102976646461867
20180106T004226Z,1.2096029924717966e-05,2.9296875,8.551988,2.4266289057779445e-12,3.598972535640844
20180106T004246Z,0.00039140323425522933,14.84375,17.711988,2.460600860408598e-09,17.19955678152497
20180106T004323Z,5.4235656206524745e-05,2.9296875,5.811989,7.602933247198093e-11,3.2443506095455237
20180106T004400Z,1.57550205701093e-05,8.59375,2.311988,4.1548493161217116e-12,8.496092780741545
20180106T004427Z,2.0953938426232813e-06,4.296875,0.751988,7.287489550130479e-14,4.515939214370172
20180106T004434Z,6.336247349659758e-06,3.125,2.011988,6.747123746082657e-13,4.138542364219071
20180106T004448Z,2.8186223245563682e-05,7.421875,3.891988,1.5849352835579775e-11,8.639995328708968
20180106T004546Z,2.2907322080054272e-06,12.109375,1.281988,8.451104900041849e-14,12.029081382781316
20180106T004616Z,3.709961392898509e-05,11.5234375,5.071988,2.277783067811472e-11,11.624894916341889
20180106T004727Z,1.2548411007477598e-05,4.1015625,3.781989,2.4066957816411502e-12,4.052583766762535
20180106T004831Z,9.137453179920428e-06,0.5859375,5.321988,1.1837251773313436e-12,1.9709984986402356
20180106T004843Z,8.095951540228536e-06,2.1484375,1.371988,1.05793196337113e-12,2.9066424855049084
20180106T004948Z,3.774700206986264e-06,11.1328125,1.861989,2.3104703444557916e-13,11.534235537424646
20180106T005013Z,7.736948625699338e-06,4.6875,3.751988,9.160941429093076e-13,5.19665374243812
20180106T005030Z,1.1892208320737077e-05,4.296875,9.501989,2.173680459096129e-12,4.685742143297423
20180106T005124Z,1.5728196653264872e-06,1.171875,3.551988,5.135557844284057e-14,16.831194780422628
20180106T005145Z,1.750012067040485e-05,4.4921875,8.691988,4.478811899560041e-12,5.517355157524644
20180106T005304Z,5.287594221250837e-05,1.5625,10.141989,5.1912640876130645e-11,6.603619883448494
20180106T005325Z,2.124382242582722e-06,0.9765625,0.811988,1.0357207312912995e-13,8.193124753051308
20180106T005349Z,1.6622366912414952e-05,3.3203125,5.521989,4.527350903949943e-12,4.368521326473693
20180106T005433Z,1.7841321376908803e-06,9.375,1.091988,7.711530478423802e-14,8.987360338186512
20180106T005525Z,3.5832154459651964e-06,36.328125,8.991988,1.7253415906073135e-13,29.470269156794444
20180106T005623Z,4.121719312135668e-06,10.15625,2.541988,2.5345835414090837e-13,10.892170207486329
20180106T010048Z,3.39975311647714e-05,7.421875,18.271988,1.6737777424139775e-11,8.274099796609082
20180106T010114Z,4.274089556051325e-06,2.9296875,1.071988,3.0835195182225855e-13,3.4656308302362864
20180106T010140Z,2.578214840236878e-06,4.8828125,1.271988,1.1046297148816579e-13,5.392926743634382
20180106T010231Z,4.135015823114751e-06,8.203125,2.201988,3.3081448519577157e-13,8.700527208080144
20180106T010248Z,2.581020180240725e-06,6.4453125,1.391988,1.0043024647934314e-13,6.691446484856651
20180106T010347Z,1.677982248375677e-06,8.0078125,0.981988,5.047760682365818e-14,8.347517395778311
20180106T010416Z,1.8745587528572542e-06,4.1015625,1.411988,6.512697980545931e-14,4.031856227465151
20180106T010424Z,1.9469744908373865e-05,28.125,13.951988,7.581194091524165e-12,25.26473363793506
20180106T010606Z,3.5845201127204738e-06,3.7109375,1.931989,1.979456023112692e-13,4.665753498740283
20180106T010659Z,3.830239532347775e-06,4.8828125,3.521989,2.6183227516877474e-13,5.175408126367317
20180106T010746Z,2.6124445618290872e-06,9.1796875,1.721988,1.0771787285407164e-13,8.964273721865894
20180106T010805Z,1.5834336480282196e-06,2.1484375,1.001989,4.3634174483771827e-14,4.323840427461204
20180106T010908Z,3.5238576420923403e-06,3.515625,3.351988,2.226585594641032e-13,4.084318046939438
20180106T010917Z,1.3298575988202655e-05,8.59375,8.471988,2.7949198594093122e-12,7.124452891426307
20180106T010949Z,9.491717846186126e-05,7.421875,15.361989,1.3547258038053181e-10,9.190286214906383
20180106T011037Z,7.930023004002092e-06,6.4453125,1.491988,1.0558045438973854e-12,6.6855093431310335
20180106T011107Z,1.9338365463541663e-06,3.7109375,1.211989,7.506745677437995e-14,4.374644866435553
20180106T011250Z,0.0001340626720614951,17.3828125,12.741989,4.2339090161897434e-10,17.2341098618889
20180106T011350Z,2.2127148313954595e-06,33.7890625,1.871988,9.211963942894496e-14,28.89347688349084
20180106T011422Z,2.268318631395624e-06,4.296875,1.021988,9.228617238578425e-14,6.386628187714483
20180106T011442Z,1.723058305573319e-06,4.4921875,0.501989,8.023315885515289e-14,13.509863264469255
20180106T011507Z,3.944997055188428e-05,8.7890625,10.741988,2.6639194052994203e-11,8.721680535957312
20180106T011653Z,2.256728793115044e-06,26.953125,0.981989,1.180349289867498e-13,21.642587254348836
20180106T011737Z,8.829285341525293e-06,7.2265625,3.741989,1.4024465075603988e-12,7.637981278329069
20180106T011748Z,8.427794945024916e-06,3.515625,6.871988,1.0750883984407784e-12,4.769251286897029
20180106T011900Z,2.563568518762299e-06,1.7578125,2.261989,1.2918455086003993e-13,2.963378268902014
20180106T011911Z,1.4672001134265692e-06,4.6875,0.291989,3.7460908862329685e-14,5.971854288506403
20180106T011934Z,1.6042764548433682e-06,4.296875,1.041989,4.802267633882262e-14,5.588553114428731
20180106T011944Z,2.7779201469556917e-06,2.734375,3.751989,1.3986793206229568e-13,4.05649945371603
