event_id,1a,1b,1c,1d,2a,2b,2c,2d,3a,3b,3c,3d,4a,4b,4c,4d,5a,5b,5c,5d,6a,6b,6c,6d,7a,7b,7c,7d,8a,8b,8c,8d
20180102T000042Z,0.17570573314233115,0.20159698136411597,0.4158781409229759,0.27808156547305257,0.33242280868475216,0.28938411944270986,0.19854731456289135,0.3299133788299453,0.05097367338497746,0.09417776483526673,0.08354075780199721,0.06975995463983897,0.1600580609958988,0.20937743630760286,0.29905120615656516,0.3706329286582192,0.12802124487790773,0.20330840539697018,0.14811707259435744,0.12322494708803468,0.252859720869511,0.29863087862068555,0.24403254257849263,0.18799398654621496,0.3267215517706813,0.4825361844502562,0.45586965910313115,0.5542761880131971,0.15553541555483394,0.23277393742729188,0.22271065102448637,0.24841758862261712
20180102T000106Z,0.37881916094984747,0.33299013720317544,0.5129861586039843,0.48659891663904165,0.4106093569633528,0.3200336710663097,0.41663865446809684,0.3964139561948616,0.030681844583472853,0.029983467014172496,0.06888621517002545,0.039827441455812844,0.2874065189550915,0.3601308606226205,0.2915590409107719,0.30442148033552374,0.21382533309594132,0.21330784394875066,0.20610333059926195,0.18446068316148695,0.32319753909911275,0.37791567312726326,0.34604638924701986,0.25840659647838327,0.2972179400514525,0.2257969839519339,0.21975727496278796,0.3233403806901932,0.20271606564302905,0.22336547476966676,0.3710118840906469,0.22957565926869805
20180102T000148Z,0.6442690953353208,0.6192643298943337,0.7562633112794143,0.7315296426992944,0.6396610506494642,0.7113542069512613,0.4258616324842684,0.4683796227164086,0.03229367645901899,0.06430841458443512,0.14170391985895184,0.05997761171574419,0.4048464051548853,0.6819755364006617,0.5588940451129223,0.412356654255956,0.3328072343588535,0.5553234433124549,0.3882444323457795,0.2749156839144472,0.31751022105269244,0.6781573325626816,0.4907737314836954,0.4504195655658314,0.3399700584446161,0.299658131425686,0.3178375535869161,0.5525558555747773,0.393622225703284,0.5547437727508352,0.4037474829631152,0.47815764395413046
20180102T000253Z,0.5114477807919211,0.5631834876862638,0.7923220611317805,0.77014639784414,0.5855182858657616,0.37453468879417956,0.7899317629295918,0.6710891146635333,0.03235463357141316,0.05813359861292972,0.07654721699390096,0.055282627174928996,0.27836045339025917,0.4246639010291921,0.6140300931658774,0.5253154572688441,0.26747967794738253,0.4120039611706634,0.3174721646852337,0.2478481882112125,0.7856044499499221,0.5326985248475941,0.5987883690775239,0.6457925528636578,0.5323942836579995,0.39901048566074215,0.362781409769066,0.5704484509276194,0.3069392532820427,0.33590286840435923,0.5641634350565069,0.4132443425213219
20180102T000316Z,0.4573314679028228,0.4092945138045267,0.5788865382256644,0.5851618238775813,0.6249729367912438,0.3837415445093151,0.7249936369625888,0.6542383673434912,0.022442471455544677,0.054234624944310056,0.0761148437032542,0.029437764025620816,0.21205053388838846,0.4202485665547992,0.40958371953457734,0.4513968612923755,0.21399150982523843,0.4154217163265023,0.23687279587078555,0.19468685893948906,0.721541512952121,0.5092204857496035,0.4726285884995032,0.4550785427812405,0.39869239514470306,0.30028738742909905,0.3201182892499933,0.5100746812771307,0.20940315578496957,0.4088797202536587,0.5584488993026138,0.2856042018097755
20180102T000347Z,0.1934713834976239,0.21787101860174343,0.4471484550933393,0.4519102966647423,0.44693589214109275,0.2570942941074967,0.41092429907091543,0.3888278744432776,0.03946351536037159,0.05080004499227817,0.06780904359617147,0.05766202477794962,0.16371353255887774,0.26965335033747856,0.3806483853428519,0.4587286294854702,0.12160938057340938,0.15863006739163876,0.11219310653134457,0.18604566487200122,0.39438728786532984,0.21527431479858053,0.5501410461533293,0.24272816118621637,0.43007051378589034,0.40838199164929556,0.4635323443763418,0.4757821946089701,0.2372353384923887,0.292275220115685,0.4921090011740514,0.3698520305058077
20180102T000410Z,0.30318984315788533,0.36941649436309343,0.47644311679590323,0.5804210086276079,0.439381208891367,0.24841759184830095,0.6519416243275444,0.5108603234523444,0.03658931963474721,0.1383947700034769,0.0762120188359373,0.08442747560633165,0.3786664743263294,0.294045285904334,0.5486495614862287,0.45661275953471836,0.23743711620470428,0.2254510998824627,0.3114983773262291,0.18498166423704487,0.6696961986080858,0.23011172559254933,0.7174712720056485,0.633213742088554,0.3271388624994461,0.4129565102444052,0.35278219721779314,0.49136814205456164,0.38400757802834057,0.2249352890496382,0.596953488590539,0.6316426039606402
20180102T000510Z,0.5144197083474354,0.4431278962148107,0.5186810343698881,0.561737849306659,0.4633179084268551,0.3473524760087621,0.4488190074849386,0.5092115245487482,0.04241603547266512,0.07870777247629575,0.1346046226945558,0.05375254479811458,0.31935213209675584,0.5095925075890726,0.4258117531630419,0.3873242003250321,0.3063965457165128,0.2943854444622187,0.35957937735318185,0.21987125144023373,0.4282526815679146,0.37490907088594644,0.35086155641397393,0.41164740258465377,0.2635038409306666,0.2781368776842628,0.204639133732506,0.36133871393806183,0.275105773110959,0.2990418593544536,0.4095319803701263,0.2962913262040148
20180102T000533Z,0.397754345544849,0.34772406123795047,0.48657347880978924,0.5393020746227614,0.4012511731983633,0.2448279695988962,0.6162834735362507,0.5918306485310866,0.03030721672706169,0.10394536510724652,0.07738846394090107,0.06414935974081007,0.2238021269955019,0.38936548033680796,0.3864609651392767,0.5437688248431922,0.19549472114191258,0.3069223272259523,0.22456869200029714,0.18908366919996888,0.7299881069781498,0.40047671627396264,0.5284217362866719,0.5337698679508026,0.5079129555139257,0.3173725782052831,0.35719096587009863,0.450981142450363,0.30343360545585457,0.40398807130950626,0.4382439646390441,0.3728128469120413
20180102T000644Z,0.36798617629772595,0.39396001534364244,0.763413418041446,0.7540606914606992,0.5662987997934414,0.31867269502678114,0.6342096254576112,0.5665213207700925,0.025987503974526722,0.04832580990708954,0.08415889329077386,0.051912287001117455,0.31504886390896747,0.3497496912272083,0.4034640580180701,0.660153349837831,0.2205170865403257,0.3048554592866993,0.24250569996233173,0.21686951360470175,0.5829879200325948,0.44732134609553903,0.6840365164920413,0.4443373639620072,0.47135409662282196,0.3948250737158532,0.3435736818223992,0.5048069430116113,0.31375852231371815,0.36658216840959723,0.49460260158976804,0.44224018287147515
