event_id,R_baz,R_rad,R_corr,P_baz,P_rad,P_corr,N
20180113T000004Z,295.2,16.0,0.9231664416218497,194.4,16.0,0.132117933536481,3.0
20180113T000030Z,144.0,16.0,0.33789762351595354,57.6,1.2539941451294703,0.29051153625973847,3.0
20180113T000116Z,345.6,1.2539941451294703,0.8776150204604052,50.400000000000006,1.2539941451294703,0.1722134876416979,3.0
20180113T000128Z,3.6,2.086701861934038,0.8944632401105853,320.40000000000003,0.6634976520136784,0.11229173543854565,3.0
20180113T000138Z,21.6,2.086701861934038,0.9051021798581337,345.6,16.0,0.1410193767727925,3.0
20180113T000151Z,64.8,6.562682848061104,0.8589518750236274,320.40000000000003,0.5143478667381388,0.14945749470353212,3.0
20180113T000229Z,126.0,8.465719296578376,0.6614829152650716,46.800000000000004,16.0,0.17496529633360805,3.0
20180113T000305Z,104.4,1.617625394674567,0.49999383348199405,75.60000000000001,0.8558976573957302,0.19787679139540507,3.0
20180113T000327Z,172.8,3.0572719704105853,0.8623659997819172,93.60000000000001,2.3700179062375537,0.4104735317158692,3.0
20180113T000345Z,68.4,16.0,0.8519773489997848,338.40000000000003,12.40330819986167,0.2448129314527711,3.0
20180113T000422Z,0.0,1.2539941451294703,0.8799723658687734,302.40000000000003,16.0,0.09841815791119608,3.0
20180113T000520Z,187.20000000000002,16.0,0.7181654366823079,79.2,0.8558976573957302,0.16015256747182888,3.0
20180113T000601Z,241.20000000000002,3.0572719704105853,0.9428147103361451,100.80000000000001,1.1040895136738127,0.08120032624907175,3.0
20180113T000700Z,270.0,1.4242516540045356,0.2611467330729127,28.8,16.0,0.5626996565682156,3.0
20180113T000829Z,140.4,4.479275200528711,0.752778671487093,82.8,0.8558976573957302,0.11282100119230151,3.0
20180113T000842Z,165.6,7.453712553094249,0.9194522246673232,86.4,0.584181993816139,0.1509035953706727,3.0
20180113T000920Z,140.4,16.0,0.2772139427078588,72.0,0.8558976573957302,0.28710620202864257,3.0
20180113T001007Z,237.60000000000002,1.2539941451294703,0.9373765482293727,158.4,10.920595260767984,0.25662912173205693,3.0
20180113T001024Z,309.6,1.617625394674567,0.9151762606568824,46.800000000000004,16.0,0.13768919816990208,3.0
20180113T001105Z,140.4,16.0,0.854464042201161,108.00000000000001,16.0,0.04481790903453073,3.0
20180113T001127Z,334.8,0.9721047414289302,0.5930578030992674,331.2,16.0,0.051420316263831325,3.0
20180113T001140Z,288.0,0.5143478667381388,0.7719778814100605,68.4,0.8558976573957302,0.24684964411716054,3.0
20180113T001201Z,108.00000000000001,16.0,0.8301205881723425,10.8,8.465719296578376,0.1630171570363758,3.0
20180113T001234Z,46.800000000000004,2.086701861934038,0.9215928812096319,324.00000000000006,0.5143478667381388,0.07937658586617136,3.0
20180113T001310Z,118.80000000000001,6.562682848061104,0.9398088631572783,75.60000000000001,0.8558976573957302,0.1302913001012973,3.0
20180113T001338Z,25.200000000000003,1.2539941451294703,0.5381555992913899,28.8,16.0,0.12477009165191043,3.0
20180113T001459Z,280.8,16.0,0.7629488043443204,14.4,2.086701861934038,0.14530444558371805,3.0
20180113T001510Z,244.80000000000004,0.9721047414289302,0.7108871627314569,331.2,0.39872594456840704,0.6906486869819548,3.0
20180113T001546Z,262.8,16.0,0.687169450787314,3.6,16.0,0.22076478041609493,3.0
20180113T001610Z,133.20000000000002,16.0,0.20995420418240307,18.0,16.0,0.2651806679793407,3.0
20180113T001627Z,349.2,0.9721047414289302,0.7282481030406869,25.200000000000003,16.0,0.2049889540297741,3.0
20180113T001653Z,255.60000000000002,16.0,0.1351769193235472,50.400000000000006,0.5143478667381388,0.21576148296408468,3.0
20180113T001710Z,255.60000000000002,3.943814886992401,0.9269579143640189,82.8,0.7535821694056161,0.12001711609031088,3.0
20180113T001754Z,7.2,2.3700179062375537,0.9375775398386296,313.2,16.0,0.09928767431462016,3.0
20180113T001810Z,309.6,2.6918003852647128,0.5046363045501646,43.2,4.479275200528711,0.32293005352300963,3.0
20180113T001831Z,280.8,12.40330819986167,0.7189089605544009,25.200000000000003,16.0,0.12234636543080886,3.0
20180113T001857Z,334.8,1.8372539081409522,0.7873547675208585,61.20000000000001,16.0,0.16718348459387644,3.0
20180113T001950Z,234.0,3.472364426509674,0.9425805145900829,115.2,16.0,0.15825807587746438,3.0
20180113T002059Z,266.40000000000003,3.943814886992401,0.6305628568322155,316.8,0.45286183213195336,0.12417787286082597,3.0
20180113T002155Z,266.40000000000003,1.1040895136738127,0.35430209783868316,122.40000000000002,2.086701861934038,0.1269027367710404,3.0
20180113T002410Z,7.2,1.617625394674567,0.8508256805272758,356.40000000000003,16.0,0.050761030327307825,3.0
20180113T002452Z,39.6,2.6918003852647128,0.9029970282241913,324.00000000000006,0.5143478667381388,0.4064215048860208,3.0
20180113T002547Z,259.2,2.3700179062375537,0.460068732770928,21.6,3.0572719704105853,0.09230959470246848,3.0
20180113T002609Z,216.00000000000003,0.6634976520136784,0.1694648027751178,28.8,16.0,0.46190756043898407,3.0
20180113T002617Z,298.8,16.0,0.8028805069171256,72.0,0.9721047414289302,0.13185835847273322,3.0
20180113T002700Z,284.40000000000003,8.465719296578376,0.5301623240100739,32.4,4.479275200528711,0.35721793192202217,3.0
20180113T002737Z,266.40000000000003,16.0,0.8985823290030633,86.4,0.7535821694056161,0.08648172507975445,3.0
20180113T002754Z,144.0,16.0,0.8839624609110642,244.80000000000004,16.0,0.004537067443108471,3.0
20180113T002816Z,122.40000000000002,16.0,0.4083731435247656,28.8,16.0,0.34567689659556555,3.0
20180113T002900Z,259.2,6.562682848061104,0.8385034809088924,0.0,16.0,0.21415935879241163,3.0
20180113T002932Z,262.8,2.6918003852647128,0.948133097599462,324.00000000000006,0.5143478667381388,0.14532529288353524,3.0
20180113T002958Z,244.80000000000004,1.4242516540045356,0.5318921656141601,28.8,1.617625394674567,0.19679690242245382,3.0
20180113T003034Z,295.2,3.943814886992401,0.8186098341955433,43.2,3.0572719704105853,0.14977216687658632,3.0
