event_id,R_baz,R_rad,R_corr,P_baz,P_rad,P_corr,N
20180203T000048Z,216.00000000000003,5.0874361239029895,0.7248239905765652,324.00000000000006,0.5143478667381388,0.06951691679533527,2.0
20180203T000409Z,295.2,0.45286183213195336,0.7221993662380739,338.40000000000003,16.0,0.03861147356490934,2.0
20180203T000430Z,64.8,16.0,0.9204396817299998,352.8,16.0,0.3739580312971402,2.0
20180203T000448Z,302.40000000000003,16.0,0.6275004546563414,14.4,10.920595260767984,0.5245282890694211,2.0
20180203T000512Z,280.8,0.30909504861018205,0.894629398011053,43.2,1.2539941451294703,0.5819117293559006,2.0
20180203T000549Z,172.8,0.9721047414289302,0.11306030197628383,72.0,16.0,0.3500502476506286,2.0
20180203T000754Z,208.8,16.0,0.23817980657174742,86.4,0.9721047414289302,0.5093313049410927,2.0
20180203T000905Z,280.8,0.39872594456840704,0.8964938832215271,57.6,0.7535821694056161,0.5911367815291545,2.0
20180203T001114Z,302.40000000000003,0.8558976573957302,0.3415003818993223,180.00000000000003,8.465719296578376,0.111145538496376,2.0
20180203T001225Z,324.00000000000006,9.615128393797233,0.8182482160877554,14.4,3.943814886992401,0.6596156515623772,2.0
20180203T001326Z,151.20000000000002,0.8558976573957302,0.8186531254899162,244.80000000000004,16.0,0.4152432811806488,2.0
20180203T001434Z,309.6,0.584181993816139,0.0494659612118221,36.0,1.617625394674567,0.1499481730964496,2.0
20180203T001708Z,295.2,3.943814886992401,0.19708758499147017,151.20000000000002,16.0,0.1231520376581771,2.0
20180203T001723Z,86.4,1.1040895136738127,0.22672285830554692,72.0,16.0,0.06996915411996345,2.0
20180203T001735Z,79.2,16.0,0.7318565811665018,172.8,16.0,0.09704106520223763,2.0
20180203T001805Z,86.4,16.0,0.11431303787345215,100.80000000000001,1.1040895136738127,0.2842815524242174,2.0
20180203T002000Z,86.4,0.8558976573957302,0.9454436920428122,180.00000000000003,16.0,0.15459005774598322,2.0
20180203T002034Z,216.00000000000003,0.7535821694056161,0.7621119456786973,50.400000000000006,0.6634976520136784,0.642348315418333,2.0
20180203T002129Z,331.2,0.6634976520136784,0.23695544954697145,172.8,16.0,0.2039751176240732,2.0
20180203T002249Z,187.20000000000002,9.615128393797233,0.5815161947098704,223.20000000000002,16.0,0.33925469424145593,2.0
20180203T002329Z,295.2,0.30909504861018205,0.5690603678325569,50.400000000000006,1.1040895136738127,0.38673966792776043,2.0
20180203T002414Z,273.6,1.2539941451294703,0.9058695305240597,115.2,0.8558976573957302,0.3197879852172622,2.0
20180203T002444Z,295.2,0.14399410274531194,0.9229452762173256,43.2,1.1040895136738127,0.30971975164009025,2.0
20180203T002606Z,208.8,16.0,0.5167659727036225,165.6,16.0,0.15131934845348036,2.0
20180203T002643Z,288.0,1.4242516540045356,0.9647229188216648,0.0,16.0,0.2656467574097828,2.0
20180203T002722Z,316.8,0.584181993816139,0.9542067745668683,7.2,16.0,0.5541731863648883,2.0
20180203T002749Z,115.2,16.0,0.9510720897534207,180.00000000000003,16.0,0.141639547710369,2.0
20180203T002821Z,144.0,16.0,0.6996815485976315,57.6,0.8558976573957302,0.2316218367958398,2.0
20180203T002828Z,266.40000000000003,1.2539941451294703,0.8057336781905571,86.4,0.7535821694056161,0.14347587505021203,2.0
20180203T002908Z,201.60000000000002,16.0,0.13092245515661846,93.60000000000001,1.8372539081409522,0.5047133157905542,2.0
20180203T003016Z,108.00000000000001,0.584181993816139,0.4517193047982436,237.60000000000002,16.0,0.1628523225487267,2.0
20180203T003204Z,86.4,1.1040895136738127,0.2233654660287908,7.2,16.0,0.10605504242533105,2.0
20180203T003227Z,288.0,0.3510615547429147,0.850988991987141,36.0,1.2539941451294703,0.6237005848778873,2.0
20180203T003242Z,129.6,16.0,0.6034647924275337,93.60000000000001,0.9721047414289302,0.14880114764120447,2.0
20180203T003400Z,316.8,0.584181993816139,0.9389204590578059,165.6,3.472364426509674,0.31994545901015053,2.0
20180203T003538Z,309.6,0.6634976520136784,0.6442449377908713,7.2,16.0,0.37267314003869595,2.0
20180203T003706Z,280.8,16.0,0.4797079303666613,72.0,0.8558976573957302,0.1589121152800258,2.0
20180203T003811Z,129.6,1.2539941451294703,0.3923172113188754,172.8,16.0,0.11958777446427919,2.0
20180203T003915Z,302.40000000000003,0.8558976573957302,0.9444209792237706,352.8,16.0,0.36131419956086286,2.0
20180203T003955Z,273.6,1.617625394674567,0.9370182091264126,136.8,1.1040895136738127,0.30644808118190664,2.0
20180203T004157Z,280.8,0.9721047414289302,0.9091692987897095,316.8,16.0,0.10957584630268964,2.0
20180203T004216Z,273.6,0.39872594456840704,0.7507873712445272,86.4,0.7535821694056161,0.4630687087639785,2.0
20180203T004244Z,136.8,16.0,0.27408187894798025,50.400000000000006,16.0,0.11792244078297164,2.0
20180203T004415Z,21.6,1.4242516540045356,0.5099405913985448,187.20000000000002,16.0,0.6125565679127535,2.0
20180203T004537Z,223.20000000000002,2.086701861934038,0.8849145509419148,302.40000000000003,16.0,0.16602996009435575,2.0
20180203T004556Z,280.8,1.617625394674567,0.9265185932354376,158.4,3.0572719704105853,0.2641004456327943,2.0
20180203T004625Z,331.2,0.6634976520136784,0.8584833291747085,64.8,1.1040895136738127,0.3305087004853544,2.0
20180203T004723Z,122.40000000000002,16.0,0.506381308203887,180.00000000000003,16.0,0.1388780826670275,2.0
20180203T004821Z,259.2,16.0,0.9180375065411346,172.8,16.0,0.3328565564965765,2.0
20180203T004840Z,64.8,1.2539941451294703,0.4575614674896087,144.0,16.0,0.1789412589844785,2.0
20180203T004901Z,86.4,0.6634976520136784,0.5314677408300752,21.6,4.479275200528711,0.4374480824333956,2.0
20180203T004919Z,273.6,1.4242516540045356,0.9521140670609648,122.40000000000002,0.8558976573957302,0.3491652405610331,2.0
20180203T005003Z,21.6,0.9721047414289302,0.5051741272330114,280.8,16.0,0.28868585821008796,2.0
20180203T005100Z,309.6,0.3510615547429147,0.9439671463239425,50.400000000000006,0.9721047414289302,0.6709108613019505,2.0
20180203T005128Z,194.4,2.6918003852647128,0.6307711949849578,288.0,6.562682848061104,0.17391957538362257,2.0
20180203T005201Z,266.40000000000003,3.0572719704105853,0.8893892578834421,136.8,1.1040895136738127,0.28602665209602884,2.0
20180203T005210Z,50.400000000000006,16.0,0.4286070753770176,201.60000000000002,16.0,0.14147262792334667,2.0
20180203T005220Z,259.2,0.23961257193520702,0.882440960365009,208.8,16.0,0.11427546409787424,2.0
20180203T005320Z,273.6,0.45286183213195336,0.8666069887281643,93.60000000000001,0.7535821694056161,0.5149630775534446,2.0
20180203T005333Z,302.40000000000003,0.8558976573957302,0.8966210291207378,14.4,7.453712553094249,0.12624436439730657,2.0
20180203T005343Z,266.40000000000003,1.1040895136738127,0.9351463773349247,0.0,16.0,0.11256362010331776,2.0
20180203T005417Z,338.40000000000003,16.0,0.07039644336237631,108.00000000000001,0.8558976573957302,0.2988873046264113,2.0
20180203T005535Z,302.40000000000003,16.0,0.30427992517878105,50.400000000000006,16.0,0.05566814075937068,2.0
20180203T005606Z,86.4,0.9721047414289302,0.5790713026507237,158.4,16.0,0.20361863000953181,2.0
20180203T005715Z,36.0,16.0,0.34646441792778593,93.60000000000001,0.6634976520136784,0.16807536187656164,2.0
20180203T005732Z,172.8,16.0,0.4695564982543652,230.4,16.0,0.3248688767355114,2.0
20180203T005750Z,158.4,16.0,0.2330724529723255,331.2,0.39872594456840704,0.1100474429356493,2.0
20180203T005817Z,331.2,1.2539941451294703,0.7327319562186368,295.2,0.584181993816139,0.06494307135655401,2.0
20180203T005843Z,180.00000000000003,1.617625394674567,0.696299538498826,266.40000000000003,12.40330819986167,0.21739444454031887,2.0
20180203T010001Z,331.2,0.39872594456840704,0.8395867752869224,172.8,16.0,0.03777261893710275,2.0
