,match_time,template
20180105T000720Z,2018-01-05T00:07:20.020000Z,5a
20180105T003310Z,2018-01-05T00:33:10.120000Z,1a
20180105T004344Z,2018-01-05T00:43:44.650000Z,2b
20180105T004509Z,2018-01-05T00:45:09.350000Z,1a
20180105T004854Z,2018-01-05T00:48:54.020000Z,1b
20180105T005131Z,2018-01-05T00:51:31.120000Z,4b
20180105T011454Z,2018-01-05T01:14:54.210000Z,5a
20180105T012755Z,2018-01-05T01:27:55.330000Z,5c
20180105T013156Z,2018-01-05T01:31:56.400000Z,2c
20180105T014059Z,2018-01-05T01:40:59.020000Z,1c
20180105T015504Z,2018-01-05T01:55:04.250000Z,1a
20180105T020105Z,2018-01-05T02:01:05.060000Z,1d
20180105T020117Z,2018-01-05T02:01:17.440000Z,1d
20180105T020528Z,2018-01-05T02:05:28.030000Z,5a
20180105T024128Z,2018-01-05T02:41:28.710000Z,4b
20180105T024905Z,2018-01-05T02:49:05.970000Z,2d
20180105T030416Z,2018-01-05T03:04:16.800000Z,4b
20180105T031358Z,2018-01-05T03:13:58.670000Z,1a
20180105T032300Z,2018-01-05T03:23:00.360000Z,4b
20180105T033331Z,2018-01-05T03:33:31.240000Z,4b
20180105T034420Z,2018-01-05T03:44:20.920000Z,1c
20180105T034937Z,2018-01-05T03:49:37.440000Z,1b
20180105T035841Z,2018-01-05T03:58:41.030000Z,1b
20180105T040555Z,2018-01-05T04:05:55.580000Z,2b
20180105T042100Z,2018-01-05T04:21:00.660000Z,1d
20180105T042517Z,2018-01-05T04:25:17.110000Z,8a
20180105T043202Z,2018-01-05T04:32:02.440000Z,1b
20180105T043619Z,2018-01-05T04:36:19.240000Z,1a
20180105T043629Z,2018-01-05T04:36:29.910000Z,1b
20180105T045218Z,2018-01-05T04:52:18.380000Z,1a
20180105T045601Z,2018-01-05T04:56:01.040000Z,1a
20180105T050849Z,2018-01-05T05:08:49.480000Z,2b
20180105T051056Z,2018-01-05T05:10:56.000000Z,6b
20180105T052521Z,2018-01-05T05:25:21.070000Z,4b
20180105T053140Z,2018-01-05T05:31:40.390000Z,5c
20180105T054602Z,2018-01-05T05:46:02.510000Z,1c
20180105T060032Z,2018-01-05T06:00:32.540000Z,5c
20180105T061314Z,2018-01-05T06:13:14.200000Z,2b
20180105T071026Z,2018-01-05T07:10:26.970000Z,1a
20180105T072853Z,2018-01-05T07:28:53.120000Z,1a
20180105T073753Z,2018-01-05T07:37:53.540000Z,4b
20180105T074812Z,2018-01-05T07:48:12.520000Z,1a
20180105T084013Z,2018-01-05T08:40:13.400000Z,8c
20180105T084505Z,2018-01-05T08:45:05.150000Z,4b
20180105T085630Z,2018-01-05T08:56:30.320000Z,6b
20180105T090032Z,2018-01-05T09:00:32.960000Z,2b
20180105T091743Z,2018-01-05T09:17:43.990000Z,1a
20180105T093252Z,2018-01-05T09:32:52.370000Z,6b
20180105T094558Z,2018-01-05T09:45:58.110000Z,1a
20180105T100028Z,2018-01-05T10:00:28.030000Z,1a
20180105T100801Z,2018-01-05T10:08:01.770000Z,1a
20180105T101352Z,2018-01-05T10:13:52.110000Z,1a
20180105T101426Z,2018-01-05T10:14:26.310000Z,1a
20180105T102302Z,2018-01-05T10:23:02.610000Z,1b
20180105T102453Z,2018-01-05T10:24:53.050000Z,1a
20180105T103024Z,2018-01-05T10:30:24.090000Z,1c
20180105T103125Z,2018-01-05T10:31:25.170000Z,8c
20180105T103514Z,2018-01-05T10:35:14.070000Z,3d
20180105T105415Z,2018-01-05T10:54:15.000000Z,4b
20180105T105943Z,2018-01-05T10:59:43.430000Z,5a
20180105T111329Z,2018-01-05T11:13:29.160000Z,1c
20180105T112628Z,2018-01-05T11:26:28.500000Z,1b
20180105T113340Z,2018-01-05T11:33:40.180000Z,8a
20180105T115109Z,2018-01-05T11:51:09.290000Z,1a
20180105T120031Z,2018-01-05T12:00:31.220000Z,1a
20180105T120044Z,2018-01-05T12:00:44.450000Z,1b
20180105T120948Z,2018-01-05T12:09:48.340000Z,1c
20180105T121016Z,2018-01-05T12:10:16.930000Z,1d
20180105T121259Z,2018-01-05T12:12:59.480000Z,2b
20180105T121557Z,2018-01-05T12:15:57.110000Z,1b
20180105T122122Z,2018-01-05T12:21:22.260000Z,4c
20180105T122704Z,2018-01-05T12:27:04.120000Z,1a
20180105T123141Z,2018-01-05T12:31:41.970000Z,1d
20180105T123338Z,2018-01-05T12:33:38.170000Z,6b
20180105T123536Z,2018-01-05T12:35:36.240000Z,2b
20180105T124914Z,2018-01-05T12:49:14.140000Z,1a
20180105T125114Z,2018-01-05T12:51:14.150000Z,1a
20180105T125319Z,2018-01-05T12:53:19.750000Z,8c
20180105T130022Z,2018-01-05T13:00:22.220000Z,2b
20180105T130836Z,2018-01-05T13:08:36.300000Z,1b
20180105T130911Z,2018-01-05T13:09:11.440000Z,6b
20180105T132040Z,2018-01-05T13:20:40.540000Z,4b
20180105T132302Z,2018-01-05T13:23:02.140000Z,1b
20180105T133412Z,2018-01-05T13:34:12.990000Z,1a
