event_id,baz,rad,corr,baz_opt,rad_opt,corr_opt,N
20180113T213410Z,1.0053096491487339,16.0,0.9065528391328259,0.9509208263334606,16.0,0.9068920758543362,3.0
20180113T213419Z,2.1362830044410597,8.465719296578376,0.8473047550340762,2.1413040868455626,7.701338611372941,0.8473058819679959,3.0
20180113T213447Z,1.884955592153876,0.45286183213195336,0.9223350909544766,1.8438792263749946,0.5200317882043053,0.9223380279240073,3.0
20180113T213514Z,1.884955592153876,16.0,0.9529102049461207,1.9200223929649427,16.0,0.9530201411390252,3.0
20180113T213538Z,0.0,1.4242516540045356,0.9330730334497839,6.240641374897601,1.3880835635426023,0.9331607235146516,3.0
20180113T213553Z,1.7592918860102844,16.0,0.8898717919348527,1.803789600705271,16.0,0.890319955899211,3.0
20180113T213604Z,3.6442474781641603,16.0,0.761954280440234,3.6462938085351992,16.0,0.7619562189823263,3.0
20180113T213615Z,1.1309733552923256,16.0,0.8207086504839752,1.1280465199490401,16.0,0.8207105940143821,3.0
20180113T213628Z,1.2566370614359172,16.0,0.8843231616278195,1.2297966820083224,16.0,0.8843704730967171,3.0
20180113T213705Z,0.3769911184307752,1.617625394674567,0.9285700890833425,0.34694759049102875,1.4845504633319182,0.9286222735239053,3.0
20180113T213718Z,2.1362830044410597,16.0,0.9851343950479613,2.145964442554514,16.0,0.9851464298909685,3.0
20180113T213728Z,2.0106192982974678,16.0,0.9096858836760466,1.9575067474977157,16.0,0.9100121490315911,3.0
20180113T213802Z,1.0053096491487339,3.943814886992401,0.9122574342906575,1.0093466959535113,4.185968355484616,0.9122601522714591,3.0
20180113T213826Z,2.8902652413026098,2.3700179062375537,0.9823788790438265,2.8453103159817053,2.4584805580938807,0.9824544015416963,3.0
20180113T213901Z,1.884955592153876,16.0,0.9616890356269365,1.845401582952341,16.0,0.961784355058439,3.0
20180113T213930Z,2.1362830044410597,3.0572719704105853,0.9852669588232447,2.0837729989251397,3.683400598387674,0.9853261156443484,3.0
20180113T213957Z,4.775220833456486,1.4242516540045356,0.8126004626245912,4.786606819435933,1.4333684488425984,0.8126835794736085,3.0
20180113T214016Z,3.1415926535897936,16.0,0.5935736003912065,3.117470598551092,16.0,0.5937399196121789,3.0
20180113T214032Z,1.6336281798666925,16.0,0.8792008408665999,1.625284349031824,16.0,0.8792050719486244,3.0
20180113T214040Z,2.0106192982974678,16.0,0.9204818006216818,1.9622191364780996,16.0,0.920934968604976,3.0
20180113T214100Z,0.6283185307179586,16.0,0.8770502106086654,0.6848303829436659,16.0,0.8773590621298353,3.0
20180113T214136Z,2.0106192982974678,16.0,0.9680249605960668,2.0200440762582375,16.0,0.9680321050176796,3.0
20180113T214156Z,1.6336281798666925,6.562682848061104,0.9594447750675421,1.6119088231766614,7.9555681516416525,0.9595344407511507,3.0
20180113T214216Z,4.523893421169302,3.943814886992401,0.5547918296085899,4.491657525165631,3.639213655500476,0.5549343855763353,3.0
20180113T214225Z,1.5079644737231008,16.0,0.6646987610209839,1.4823408586422602,16.0,0.6647474289679154,3.0
20180113T214232Z,1.0053096491487339,16.0,0.8231173641913331,1.0206249133349847,16.0,0.8231399262340291,3.0
20180113T214243Z,1.6336281798666925,5.778168376825359,0.9487687264137692,1.6902642844800981,4.712519061850649,0.9495668445312287,3.0
20180113T214300Z,1.7592918860102844,16.0,0.910080847240281,1.7799944907235892,16.0,0.9101431352147475,3.0
20180113T214311Z,2.1362830044410597,0.2721452912874363,0.903737707374222,2.476637467048946,0.18059863050603617,0.9039209355564708,3.0
20180113T214334Z,0.5026548245743669,2.3700179062375537,0.9573771230159593,0.540333520143446,2.3926950567865637,0.9574327665430447,3.0
20180113T214358Z,2.1362830044410597,16.0,0.7052795892622863,2.136543781175,16.0,0.7052796010980896,3.0
20180113T214411Z,1.884955592153876,2.6918003852647128,0.9740108872487889,1.8485193230200156,2.987988867205587,0.9740603470161815,3.0
20180113T214439Z,4.1469023027385274,1.2539941451294703,0.667278369452062,4.110465038015622,1.3010973621778585,0.667617067237375,3.0
20180113T214509Z,1.3823007675795091,16.0,0.9201029144196878,1.3901977006755444,16.0,0.9201068848744293,3.0
20180113T214516Z,0.6283185307179586,10.920595260767984,0.9429650886639966,0.6193888223220028,9.392006572054026,0.9429676797566391,3.0
20180113T214537Z,2.8902652413026098,16.0,0.9423999477534775,2.886737085490474,16.0,0.9424020565442152,3.0
20180113T214607Z,1.884955592153876,16.0,0.8556861581765057,1.9156045282958325,16.0,0.8558521003456373,3.0
20180113T214620Z,4.39822971502571,2.6918003852647128,0.9054415795292289,4.384902552736257,2.6590344602358122,0.9055555500429374,3.0
20180113T214635Z,1.884955592153876,16.0,0.9165548811963934,1.9385222012668426,16.0,0.9172394146156533,3.0
20180113T214725Z,1.5079644737231008,16.0,0.8874340290743462,1.5422029249087084,16.0,0.8875563098442089,3.0
20180113T214742Z,2.5132741228718345,16.0,0.6119736687876046,2.5004500434851105,16.0,0.6119949355187131,3.0
20180113T214755Z,2.0106192982974678,16.0,0.8599717671872347,1.9952837568026776,16.0,0.8600500106428106,3.0
20180113T214815Z,0.7539822368615504,5.0874361239029895,0.9088794346104627,0.7131891813763988,4.068079218311642,0.9089945251887855,3.0
20180113T214826Z,1.6336281798666925,16.0,0.913012020676371,1.6391603797122904,16.0,0.9130143876015313,3.0
20180113T214844Z,3.267256359733385,10.920595260767984,0.9874061749593634,3.2837431715634486,9.95995824823169,0.9874185771390802,3.0
20180113T214857Z,1.0053096491487339,16.0,0.8996404586692313,1.065098084337365,16.0,0.8998625006278448,3.0
20180113T214918Z,1.2566370614359172,3.472364426509674,0.7567047775154491,1.2879483933140485,3.582844676540973,0.7570803649858077,3.0
20180113T214928Z,2.0106192982974678,16.0,0.9750226828634021,2.026130912024567,16.0,0.9750453712683219,3.0
20180113T214944Z,1.884955592153876,16.0,0.9638722372347768,1.9082414205139804,16.0,0.9639092541937797,3.0
20180113T215015Z,0.6283185307179586,3.943814886992401,0.916998604792948,0.6599783300038274,4.1884727485394935,0.9170564817250078,3.0
20180113T215025Z,1.5079644737231008,16.0,0.7246996073120013,1.4743887022378601,16.0,0.724808529187705,3.0
20180113T215034Z,2.387610416728243,16.0,0.9244110126138108,2.4067564234252092,16.0,0.9244436440362755,3.0
