event_id,R_baz,R_rad,R_corr,P_baz,P_rad,P_corr,N
20180118T000054Z,100.80000000000001,3.472364426509674,0.9764454060584216,43.2,2.086701861934038,0.12995404214050815,3.0
20180118T000142Z,158.4,16.0,0.6118488529371906,201.60000000000002,1.8372539081409522,0.10200414044198962,3.0
20180118T000321Z,147.6,12.40330819986167,0.6866022612264393,90.00000000000001,0.6634976520136784,0.06672900783968042,3.0
20180118T000516Z,151.20000000000002,16.0,0.5799598381373993,82.8,0.7535821694056161,0.12897664379953955,3.0
20180118T000537Z,252.0,4.479275200528711,0.8191011618902626,342.00000000000006,16.0,0.08692584212056324,3.0
20180118T000619Z,140.4,3.943814886992401,0.9469220219953445,75.60000000000001,0.9721047414289302,0.027442448187252402,3.0
20180118T000738Z,320.40000000000003,1.617625394674567,0.9338802690598323,79.2,0.8558976573957302,0.06027443177015413,3.0
20180118T000814Z,288.0,4.479275200528711,0.39558197024121494,82.8,0.7535821694056161,0.1918298938248923,3.0
20180118T000841Z,223.20000000000002,2.086701861934038,0.9165438657743497,126.0,16.0,0.13704109728717787,3.0
20180118T001039Z,352.8,16.0,0.3875975443866164,316.8,16.0,0.1400990067988189,3.0
20180118T001139Z,39.6,2.6918003852647128,0.9112435268567401,349.2,16.0,0.08407738593253945,3.0
20180118T001206Z,230.4,16.0,0.3915399952649585,68.4,0.6634976520136784,0.14414418873579374,3.0
20180118T001230Z,331.2,7.453712553094249,0.8431014406505024,79.2,0.8558976573957302,0.046940281804493326,3.0
20180118T001240Z,352.8,1.4242516540045356,0.4771205360226124,266.40000000000003,16.0,0.026694955397574906,3.0
20180118T001323Z,151.20000000000002,2.6918003852647128,0.3265656878728125,3.6,16.0,0.10895491054116749,3.0
20180118T001337Z,183.6,14.087332295285256,0.40885170757883066,93.60000000000001,0.8558976573957302,0.11852652428422772,3.0
20180118T001355Z,180.00000000000003,16.0,0.5191487781205935,331.2,0.5143478667381388,0.03632427235763855,3.0
20180118T001423Z,252.0,16.0,0.5202275393226987,147.6,16.0,0.14167725710426732,3.0
20180118T001715Z,104.4,16.0,0.41245178968154234,86.4,0.8558976573957302,0.0011215952641054948,3.0
20180118T001735Z,129.6,16.0,0.384790648392626,122.40000000000002,16.0,0.15690694427259788,3.0
20180118T001831Z,122.40000000000002,16.0,0.7655714330491845,219.60000000000002,0.584181993816139,0.06776766449892539,3.0
20180118T001931Z,266.40000000000003,16.0,0.5923711359989291,7.2,16.0,0.06024385764814749,3.0
20180118T002010Z,270.0,3.472364426509674,0.9411497567387296,21.6,1.8372539081409522,0.1389782916457782,3.0
20180118T002059Z,280.8,7.453712553094249,0.9288984951525191,219.60000000000002,0.21096887018620009,0.14410461601981497,3.0
20180118T002207Z,284.40000000000003,3.943814886992401,0.6688777290565536,57.6,16.0,0.0997483752664335,3.0
20180118T002222Z,284.40000000000003,5.778168376825359,0.7281325273360902,194.4,1.1040895136738127,0.07851977863024352,3.0
20180118T002246Z,230.4,16.0,0.04398733331663254,356.40000000000003,16.0,0.09845687364742498,3.0
20180118T002304Z,273.6,6.562682848061104,0.9304194204833184,25.200000000000003,2.6918003852647128,0.11651563922015389,3.0
20180118T002322Z,133.20000000000002,3.0572719704105853,0.8531173308451765,194.4,16.0,0.08870244995886971,3.0
20180118T002349Z,277.2,2.6918003852647128,0.8188381738232952,39.6,3.472364426509674,0.16714244694934863,3.0
20180118T002358Z,277.2,7.453712553094249,0.7736660461240427,57.6,16.0,0.08878010733390458,3.0
20180118T002407Z,288.0,1.617625394674567,0.5158386069120573,122.40000000000002,16.0,0.10833852468359421,3.0
20180118T002426Z,270.0,16.0,0.7727529839613851,104.4,16.0,0.1259100082312538,3.0
20180118T002454Z,288.0,3.472364426509674,0.6767641074778595,64.8,0.9721047414289302,0.1704859214616179,3.0
20180118T002500Z,284.40000000000003,3.943814886992401,0.8541845964245881,72.0,0.8558976573957302,0.10930043322378752,3.0
