event_id,baz,rad,corr,baz_opt,rad_opt,corr_opt,N
20180102T101602Z,6.031857894892403,1.2539941451294703,0.9657252060305357,5.999855205026499,1.2962318301498437,0.9659042383930037,2.0
20180102T101657Z,4.649557127312894,16.0,0.8833598928134884,4.6549490697823135,16.0,0.8833624799515702,2.0
20180102T102021Z,4.523893421169302,16.0,0.9412300771509081,4.480598347412019,16.0,0.9416675335036564,2.0
20180102T102211Z,4.39822971502571,16.0,0.9701486628591389,4.3898004905962775,16.0,0.9701725349581235,2.0
20180102T102318Z,4.900884539600078,16.0,0.962778695216042,4.949283167438657,16.0,0.9629953319782408,2.0
20180102T102606Z,0.12566370614359174,2.086701861934038,0.960195770597033,0.07362180840341961,1.9094852491514902,0.9605277137654671,2.0
20180102T102653Z,6.031857894892403,1.617625394674567,0.9706628450967997,6.068452246877707,1.59964868706665,0.9709643226494712,2.0
20180102T102807Z,4.775220833456486,16.0,0.894150678411693,4.721068243682546,16.0,0.8943258756567979,2.0
20180102T102817Z,4.900884539600078,16.0,0.9562744255128135,4.883415566387637,16.0,0.956297900618152,2.0
20180102T103108Z,4.39822971502571,16.0,0.9501617156379664,4.388297189424151,16.0,0.9501895120802261,2.0
20180102T103252Z,5.7805304826052195,2.6918003852647128,0.9552253397074394,5.764436214286754,2.6068500370550636,0.955239760399445,2.0
20180102T103353Z,0.5026548245743669,2.6918003852647128,0.9643920980319408,0.5390653613687387,2.6982762285702124,0.9644566136679736,2.0
20180102T103434Z,3.267256359733385,16.0,0.9782437186467622,3.241730919422969,16.0,0.9782810930605277,2.0
20180102T103606Z,4.39822971502571,8.465719296578376,0.9629758697341345,4.341594290460975,16.0,0.9637687560843432,2.0
20180102T103754Z,3.267256359733385,16.0,0.9770898682955392,3.2125361970679283,16.0,0.9774842818481787,2.0
20180102T103917Z,4.39822971502571,16.0,0.9468872192008715,4.400645734766631,16.0,0.946888711315757,2.0
20180102T104100Z,5.403539364174445,2.086701861934038,0.947525385941425,5.368665501219147,1.8351852843953558,0.947782415784109,2.0
20180102T104238Z,5.6548667764616285,2.3700179062375537,0.969574652600393,5.679673956863415,2.5364152938442777,0.96959232055335,2.0
20180102T104446Z,5.026548245743669,1.2539941451294703,0.9559652940589102,4.93767790152155,0.9821091037559601,0.9564026537748747,2.0
20180102T104506Z,4.523893421169302,16.0,0.9321658055351195,4.511136836937247,16.0,0.9321771747052031,2.0
20180102T104703Z,5.026548245743669,1.2539941451294703,0.8973459655245472,4.937714891094601,0.9821738305805581,0.8983247749003089,2.0
20180102T104928Z,1.1309733552923256,0.8558976573957302,0.9316235159584851,1.1286563780574494,0.8988282709883864,0.9316358326965559,2.0
20180102T105043Z,2.6389378290154264,16.0,0.951570248449042,2.6200606614397057,16.0,0.951640573672919,2.0
20180102T105105Z,1.6336281798666925,5.778168376825359,0.9252659142246561,1.6022060666559403,7.973150806263577,0.9253314229629973,2.0
20180102T105231Z,2.261946710584651,0.23961257193520702,0.9518531098684343,2.476821214429485,0.18057727603153564,0.9523984119508118,2.0
20180102T105418Z,2.261946710584651,0.21096887018620009,0.8728488095240464,2.476753510066191,0.1805783712902517,0.8736683052712788,2.0
20180102T105444Z,2.261946710584651,0.21096887018620009,0.8901664064540552,2.4768007702832646,0.18057150619228562,0.8906049601244026,2.0
20180102T105728Z,4.272566008882119,16.0,0.9869362344727687,4.3057368094393595,16.0,0.987482244198989,2.0
20180102T105751Z,5.026548245743669,2.086701861934038,0.9760786750337784,4.937644603514389,0.9822088872372509,0.9761810442164036,2.0
20180102T110214Z,4.272566008882119,16.0,0.9244082689995129,4.290403137483654,16.0,0.9245534233051429,2.0
20180102T110312Z,4.523893421169302,16.0,0.9489187038630063,4.521629265526384,16.0,0.9489190323760708,2.0
20180102T110429Z,4.39822971502571,16.0,0.9556537906154259,4.402578550559365,16.0,0.9556591394365185,2.0
20180102T110522Z,5.6548667764616285,2.6918003852647128,0.9162423297603159,5.684965252804,2.9648238626055874,0.9162770676085505,2.0
20180102T110902Z,0.3769911184307752,4.479275200528711,0.9284438128013422,0.34323177977163616,3.874718030960265,0.9285208832852101,2.0
20180102T110957Z,2.387610416728243,16.0,0.9880075912574552,2.432144946962139,16.0,0.9880812218065039,2.0
20180102T111120Z,4.39822971502571,16.0,0.886765900306152,4.381478644822,16.0,0.8868000031767563,2.0
20180102T111304Z,5.7805304826052195,2.086701861934038,0.9382464097857358,5.81744246905458,2.316604381162003,0.9382854831784135,2.0
20180102T111322Z,5.026548245743669,1.8372539081409522,0.9677252925539461,4.937607145920779,0.982005332367915,0.9678303351819485,2.0
20180102T111527Z,3.769911184307752,16.0,0.7662178805095607,3.7561053572167795,16.0,0.7662913820509546,2.0
20180102T111851Z,4.0212385965949355,16.0,0.8407599850853731,4.082696002880787,16.0,0.8433667713456819,2.0
20180102T111928Z,5.026548245743669,1.2539941451294703,0.96104504109104,4.937769701436066,0.9822419006226017,0.9627676422523417,2.0
20180102T112151Z,0.5026548245743669,0.8558976573957302,0.9238375468603787,0.5270127302596863,0.9008786766105801,0.9238673469156791,2.0
20180102T112426Z,0.3769911184307752,2.6918003852647128,0.9647162307385978,0.33850360431469884,2.5542028589444445,0.9647806024066324,2.0
20180102T112501Z,4.649557127312894,16.0,0.8483587171510648,4.588429526896441,16.0,0.8486606899065102,2.0
20180102T112846Z,5.403539364174445,1.617625394674567,0.9230946632748923,5.376409494602473,1.4880489840828894,0.9233454380637148,2.0
20180102T112914Z,6.157521601035995,1.8372539081409522,0.9701631204420489,6.206948684128739,2.1348994606162677,0.9703690925179143,2.0
20180102T112931Z,4.523893421169302,16.0,0.9628161361700266,4.480708794028747,16.0,0.9630427836012639,2.0
20180102T113141Z,4.39822971502571,14.087332295285256,0.9684017364660681,4.370901847289527,16.0,0.9685150414135243,2.0
20180102T113154Z,0.12566370614359174,3.472364426509674,0.9221097698891949,0.12091905416704131,3.339604468370382,0.9221188570203551,2.0
20180102T113502Z,3.267256359733385,16.0,0.9795889120312211,3.3006787331398373,16.0,0.9796775645068216,2.0
20180102T113542Z,2.0106192982974678,3.472364426509674,0.9865358031907443,1.9704768048087047,16.0,0.9865876973687648,2.0
20180102T113557Z,6.031857894892403,1.8372539081409522,0.9437253792320245,6.047053030259442,1.762271710722381,0.943827930088247,2.0
