,event_id,arrival,group
212,20180108T023353Z,569,9
213,20180108T023419Z,695,1
214,20180108T023534Z,596,1
215,20180108T023541Z,956,9
216,20180108T023553Z,596,1
217,20180108T023645Z,965,9
218,20180108T023713Z,596,9
219,20180108T023821Z,569,9
220,20180108T023843Z,569,2
221,20180108T023903Z,569,9
222,20180108T023943Z,956,6
223,20180108T024036Z,695,9
224,20180108T024305Z,569,9
225,20180108T024435Z,965,5
226,20180108T024459Z,965,9
227,20180108T024532Z,965,1
228,20180108T024634Z,695,6
229,20180108T024847Z,965,4
230,20180108T025001Z,659,9
231,20180108T025017Z,956,9
232,20180108T025047Z,965,5
233,20180108T025102Z,695,5
234,20180108T025134Z,965,9
235,20180108T025203Z,695,9
236,20180108T025309Z,965,9
237,20180108T025336Z,695,8
238,20180108T025431Z,569,9
239,20180108T025614Z,596,4
240,20180108T025625Z,965,9
241,20180108T025718Z,659,8
242,20180108T025825Z,965,4
243,20180108T025942Z,695,4
244,20180108T030040Z,965,8
245,20180108T030128Z,659,9
246,20180108T030224Z,695,1
247,20180108T030247Z,U,10
248,20180108T030257Z,659,4
249,20180108T030331Z,695,9
250,20180108T030640Z,965,9
251,20180108T030655Z,569,9
252,20180108T030723Z,965,9
253,20180108T030913Z,965,9
254,20180108T031027Z,695,8
255,20180108T031135Z,569,2
256,20180108T031202Z,965,9
257,20180108T031216Z,U,10
258,20180108T031235Z,695,1
259,20180108T031250Z,965,5
260,20180108T031345Z,965,9
261,20180108T031535Z,596,9
262,20180108T031632Z,956,2
263,20180108T031650Z,965,1
264,20180108T031803Z,695,9
265,20180108T031937Z,695,9
266,20180108T032004Z,965,9
267,20180108T032033Z,659,9
268,20180108T032047Z,965,9
269,20180108T032120Z,965,9
270,20180108T032211Z,695,9
271,20180108T032225Z,965,8
272,20180108T032326Z,695,9
273,20180108T032441Z,569,9
274,20180108T032505Z,569,9
275,20180108T032607Z,U,10
276,20180108T032635Z,965,2
277,20180108T032649Z,569,9
278,20180108T032752Z,965,2
279,20180108T032859Z,569,1
280,20180108T032938Z,569,1
281,20180108T033000Z,659,4
282,20180108T033038Z,695,6
283,20180108T033116Z,569,9
284,20180108T033156Z,569,9
285,20180108T033321Z,695,9
286,20180108T033350Z,695,9
287,20180108T033438Z,965,8
288,20180108T033530Z,965,9
289,20180108T033632Z,569,6
290,20180108T033757Z,965,2
291,20180108T033835Z,U,10
292,20180108T033920Z,965,9
293,20180108T033938Z,596,6
294,20180108T034029Z,596,9
295,20180108T034203Z,569,3
296,20180108T034227Z,569,1
297,20180108T034314Z,965,9
298,20180108T034447Z,569,4
299,20180108T034612Z,U,10
300,20180108T034620Z,U,10
301,20180108T034728Z,965,9
302,20180108T034741Z,U,10
303,20180108T034842Z,U,10
304,20180108T034923Z,695,1
305,20180108T035043Z,U,10
306,20180108T035127Z,659,9
307,20180108T035246Z,596,2
308,20180108T035312Z,965,1
309,20180108T035327Z,965,8
310,20180108T035353Z,965,9
311,20180108T035420Z,659,9
312,20180108T035622Z,569,9
313,20180108T035718Z,965,9
314,20180108T035728Z,596,9
315,20180108T035814Z,659,1
316,20180108T035923Z,956,9
317,20180108T035953Z,956,1
318,20180108T040053Z,695,9
319,20180108T040339Z,965,8
320,20180108T040447Z,659,4
321,20180108T040532Z,965,9
322,20180108T040617Z,695,3
323,20180108T040739Z,965,2
324,20180108T040803Z,2569,7
325,20180108T040948Z,965,9
326,20180108T041328Z,596,7
327,20180108T041343Z,569,7
328,20180108T041428Z,965,9
329,20180108T041505Z,596,9
330,20180108T041529Z,956,9
331,20180108T041905Z,659,9
332,20180108T041930Z,596,9
333,20180108T041959Z,U,10
334,20180108T042023Z,965,9
335,20180108T042114Z,659,9
336,20180108T042123Z,695,4
337,20180108T042144Z,596,9
338,20180108T042233Z,596,9
339,20180108T042253Z,965,9
340,20180108T042315Z,596,6
341,20180108T042327Z,659,9
342,20180108T042350Z,596,2
343,20180108T042418Z,596,7
344,20180108T042524Z,U,10
345,20180108T042546Z,695,2
346,20180108T042602Z,695,7
347,20180108T042710Z,659,9
348,20180108T042730Z,695,8
349,20180108T042739Z,659,9
350,20180108T042922Z,659,9
351,20180108T042941Z,U,10
352,20180108T043019Z,596,9
353,20180108T043035Z,965,9
354,20180108T043102Z,965,2
355,20180108T043122Z,U,10
356,20180108T043141Z,659,9
357,20180108T043236Z,596,2
358,20180108T043245Z,695,2
359,20180108T043303Z,956,8
360,20180108T043325Z,596,9
361,20180108T043347Z,965,8
362,20180108T043404Z,695,1
363,20180108T043508Z,695,9
364,20180108T043519Z,695,2
365,20180108T043606Z,U,10
366,20180108T043701Z,596,6
367,20180108T043736Z,965,8
368,20180108T043814Z,695,3
369,20180108T043831Z,659,5
370,20180108T044110Z,965,9
371,20180108T044118Z,956,9
372,20180108T044149Z,965,1
373,20180108T044308Z,695,9
374,20180108T044328Z,596,9
375,20180108T044350Z,695,9
376,20180108T044437Z,956,9
377,20180108T044617Z,965,9
378,20180108T044635Z,965,9
379,20180108T044643Z,596,9
380,20180108T044747Z,695,9
381,20180108T044802Z,695,9
382,20180108T044827Z,569,9
383,20180108T044902Z,965,9
384,20180108T045031Z,695,9
385,20180108T045046Z,965,6
386,20180108T045116Z,965,9
387,20180108T045156Z,965,9
388,20180108T045205Z,956,9
389,20180108T045237Z,695,2
390,20180108T045253Z,695,9
391,20180108T045314Z,659,8
392,20180108T045327Z,569,9
393,20180108T045349Z,U,10
394,20180108T045401Z,965,9
395,20180108T045446Z,965,5
396,20180108T045521Z,965,9
397,20180108T045602Z,965,9
398,20180108T045622Z,U,10
399,20180108T045701Z,U,10
400,20180108T045812Z,956,6
401,20180108T045825Z,965,9
402,20180108T045844Z,965,9
403,20180108T045923Z,695,8
404,20180108T050019Z,695,9
405,20180108T050042Z,U,10
406,20180108T050133Z,596,1
407,20180108T050146Z,569,9
408,20180108T050156Z,965,8
409,20180108T050251Z,659,9
410,20180108T050316Z,596,9
411,20180108T050403Z,956,9
412,20180108T050414Z,695,3
413,20180108T050500Z,695,5
414,20180108T050528Z,695,3
415,20180108T050534Z,965,6
416,20180108T050620Z,965,9
417,20180108T050659Z,569,9
418,20180108T050919Z,695,9
419,20180108T050939Z,659,9
420,20180108T051022Z,695,9
421,20180108T051049Z,965,9
422,20180108T051111Z,569,9
423,20180108T051128Z,569,2
424,20180108T051246Z,U,10
425,20180108T051316Z,569,1
426,20180108T051344Z,695,9
427,20180108T051613Z,965,4
428,20180108T051631Z,695,9
429,20180108T051945Z,659,4
430,20180108T052018Z,659,2
431,20180108T052141Z,U,10
432,20180108T052220Z,569,9
433,20180108T052250Z,U,10
434,20180108T052303Z,695,1
435,20180108T052334Z,659,9
436,20180108T052527Z,U,10
437,20180108T052602Z,U,10
438,20180108T052813Z,965,9
439,20180108T052849Z,965,8
440,20180108T052939Z,965,9
441,20180108T052950Z,965,2
442,20180108T053010Z,965,2
443,20180108T053018Z,659,9
444,20180108T053135Z,569,6
445,20180108T053226Z,695,6
446,20180108T053402Z,965,9
447,20180108T053413Z,596,9
448,20180108T053523Z,956,9
449,20180108T053656Z,U,10
450,20180108T053737Z,956,6
451,20180108T053753Z,965,7
452,20180108T053828Z,965,9
453,20180108T053909Z,596,9
454,20180108T053925Z,965,9
455,20180108T053959Z,659,9
456,20180108T054011Z,965,9
457,20180108T054138Z,569,9
458,20180108T054231Z,U,10
459,20180108T054521Z,569,3
460,20180108T054535Z,965,9
461,20180108T054659Z,695,3
462,20180108T054741Z,695,8
463,20180108T054802Z,569,9
464,20180108T054839Z,965,9
465,20180108T054858Z,569,1
466,20180108T054908Z,569,1
467,20180108T054947Z,U,10
468,20180108T055007Z,965,9
469,20180108T055015Z,U,10
470,20180108T055033Z,659,8
471,20180108T055147Z,U,10
472,20180108T055211Z,965,9
473,20180108T055236Z,695,4
474,20180108T055250Z,965,9
475,20180108T055323Z,U,10
476,20180108T055430Z,596,8
477,20180108T055505Z,596,9
478,20180108T055556Z,695,6
479,20180108T055612Z,596,7
480,20180108T055654Z,965,9
481,20180108T055716Z,965,4
482,20180108T055805Z,U,10
483,20180108T055852Z,965,5
484,20180108T055927Z,596,9
485,20180108T055940Z,965,8
486,20180108T060015Z,659,9
487,20180108T060137Z,659,4
488,20180108T060153Z,965,2
489,20180108T060209Z,Z,10
490,20180108T060215Z,965,10
491,20180108T060235Z,596,9
492,20180108T060303Z,965,7
493,20180108T060412Z,965,9
494,20180108T060600Z,596,9
495,20180108T060622Z,956,6
496,20180108T060654Z,965,9
497,20180108T060727Z,U,10
498,20180108T060754Z,U,10
499,20180108T060820Z,569,9
500,20180108T060853Z,596,6
501,20180108T060920Z,U,10
502,20180108T060926Z,695,8
503,20180108T061106Z,965,9
504,20180108T061127Z,965,6
505,20180108T061313Z,965,1
506,20180108T061349Z,659,9
507,20180108T061410Z,569,7
508,20180108T061429Z,695,9
509,20180108T061510Z,956,4
510,20180108T061557Z,695,4
511,20180108T061649Z,596,2
512,20180108T061705Z,659,9
513,20180108T061752Z,695,9
514,20180108T061804Z,569,9
515,20180108T061858Z,965,8
516,20180108T062028Z,965,9
517,20180108T062148Z,569,9
518,20180108T062213Z,965,9
519,20180108T062251Z,596,9
520,20180108T062351Z,695,9
521,20180108T062521Z,695,4
522,20180108T062704Z,965,9
523,20180108T062755Z,965,9
524,20180108T062821Z,569,9
525,20180108T062929Z,659,5
526,20180108T062954Z,965,9
527,20180108T063008Z,956,5
528,20180108T063026Z,965,9
529,20180108T063115Z,659,9
530,20180108T063151Z,965,9
531,20180108T063240Z,596,4
532,20180108T063416Z,695,6
533,20180108T063556Z,695,4
534,20180108T063649Z,U,10
535,20180108T063705Z,695,4
536,20180108T063804Z,965,4
537,20180108T063847Z,659,9
538,20180108T063941Z,569,7
539,20180108T064013Z,659,9
540,20180108T064038Z,U,10
541,20180108T064058Z,569,7
542,20180108T064135Z,659,2
543,20180108T064149Z,695,7
544,20180108T064154Z,965,9
545,20180108T064233Z,U,10
546,20180108T064241Z,695,9
547,20180108T064257Z,659,9
548,20180108T064307Z,569,9
549,20180108T064430Z,596,1
550,20180108T064517Z,695,2
551,20180108T064543Z,569,6
552,20180108T064603Z,695,1
553,20180108T064747Z,956,6
554,20180108T064810Z,965,9
555,20180108T064900Z,596,1
556,20180108T064933Z,695,9
557,20180108T065006Z,965,4
558,20180108T065159Z,965,9
559,20180108T065223Z,965,9
560,20180108T065313Z,596,9
561,20180108T065325Z,695,8
562,20180108T065339Z,965,1
563,20180108T065400Z,965,9
564,20180108T065407Z,596,7
565,20180108T065417Z,965,2
566,20180108T065433Z,965,2
567,20180108T065513Z,965,9
568,20180108T065525Z,695,9
569,20180108T065541Z,965,9
570,20180108T065608Z,569,9
571,20180108T065635Z,569,9
572,20180108T065717Z,695,7
573,20180108T065728Z,965,9
