,match_time,template
20180101T001356Z,2018-01-01T00:13:56.420000Z,1d
20180101T003730Z,2018-01-01T00:37:30.320000Z,3d
20180101T004118Z,2018-01-01T00:41:18.870000Z,1a
20180101T004610Z,2018-01-01T00:46:10.120000Z,2b
20180101T010957Z,2018-01-01T01:09:57.510000Z,4b
20180101T011540Z,2018-01-01T01:15:40.080000Z,1c
20180101T013606Z,2018-01-01T01:36:06.480000Z,2b
20180101T013801Z,2018-01-01T01:38:01.360000Z,1a
20180101T015028Z,2018-01-01T01:50:28.070000Z,2b
20180101T015821Z,2018-01-01T01:58:21.440000Z,1c
20180101T015947Z,2018-01-01T01:59:47.760000Z,1a
20180101T020835Z,2018-01-01T02:08:35.490000Z,1b
20180101T025030Z,2018-01-01T02:50:30.020000Z,5c
20180101T032854Z,2018-01-01T03:28:54.280000Z,5a
20180101T033729Z,2018-01-01T03:37:29.240000Z,2b
20180101T033837Z,2018-01-01T03:38:37.370000Z,6d
20180101T044423Z,2018-01-01T04:44:23.480000Z,1b
20180101T045330Z,2018-01-01T04:53:30.190000Z,1b
20180101T050050Z,2018-01-01T05:00:50.800000Z,1a
20180101T052207Z,2018-01-01T05:22:07.740000Z,1a
20180101T053850Z,2018-01-01T05:38:50.360000Z,1a
20180101T054154Z,2018-01-01T05:41:54.690000Z,6d
20180101T060136Z,2018-01-01T06:01:36.270000Z,1a
20180101T063418Z,2018-01-01T06:34:18.170000Z,4b
20180101T063438Z,2018-01-01T06:34:38.630000Z,1b
20180101T081546Z,2018-01-01T08:15:46.310000Z,1c
20180101T085553Z,2018-01-01T08:55:53.800000Z,2c
20180101T091854Z,2018-01-01T09:18:54.200000Z,1a
20180101T092516Z,2018-01-01T09:25:16.380000Z,1b
20180101T095527Z,2018-01-01T09:55:27.470000Z,1a
20180101T095842Z,2018-01-01T09:58:42.360000Z,4b
20180101T100554Z,2018-01-01T10:05:54.350000Z,1b
20180101T100831Z,2018-01-01T10:08:31.320000Z,1a
20180101T102833Z,2018-01-01T10:28:33.190000Z,1a
20180101T104219Z,2018-01-01T10:42:19.020000Z,1a
20180101T104605Z,2018-01-01T10:46:05.110000Z,5a
20180101T105739Z,2018-01-01T10:57:39.490000Z,5a
20180101T111357Z,2018-01-01T11:13:57.120000Z,5a
20180101T111429Z,2018-01-01T11:14:29.650000Z,1b
20180101T111510Z,2018-01-01T11:15:10.570000Z,1d
20180101T111612Z,2018-01-01T11:16:12.340000Z,6b
20180101T112232Z,2018-01-01T11:22:32.850000Z,1a
20180101T113345Z,2018-01-01T11:33:45.590000Z,5a
20180101T113450Z,2018-01-01T11:34:50.280000Z,1a
20180101T114218Z,2018-01-01T11:42:18.790000Z,1a
20180101T114845Z,2018-01-01T11:48:45.230000Z,1c
20180101T120752Z,2018-01-01T12:07:52.470000Z,1d
20180101T121953Z,2018-01-01T12:19:53.320000Z,1c
20180101T122412Z,2018-01-01T12:24:12.440000Z,1c
20180101T123749Z,2018-01-01T12:37:49.900000Z,1a
20180101T124737Z,2018-01-01T12:47:37.850000Z,6d
20180101T125354Z,2018-01-01T12:53:54.200000Z,1a
20180101T125840Z,2018-01-01T12:58:40.120000Z,1a
20180101T130023Z,2018-01-01T13:00:23.990000Z,1a
20180101T130946Z,2018-01-01T13:09:46.020000Z,5a
20180101T134032Z,2018-01-01T13:40:32.830000Z,2c
20180101T134716Z,2018-01-01T13:47:16.280000Z,6b
20180101T134824Z,2018-01-01T13:48:24.460000Z,1a
20180101T135330Z,2018-01-01T13:53:30.180000Z,1b
20180101T135542Z,2018-01-01T13:55:42.450000Z,1c
20180101T140045Z,2018-01-01T14:00:45.920000Z,1a
20180101T140818Z,2018-01-01T14:08:18.300000Z,1a
20180101T141219Z,2018-01-01T14:12:19.420000Z,1d
20180101T141756Z,2018-01-01T14:17:56.300000Z,5a
20180101T142355Z,2018-01-01T14:23:55.770000Z,1a
20180101T142526Z,2018-01-01T14:25:26.040000Z,5a
20180101T143610Z,2018-01-01T14:36:10.000000Z,1c
20180101T144401Z,2018-01-01T14:44:01.180000Z,1a
20180101T145021Z,2018-01-01T14:50:21.190000Z,4b
20180101T150602Z,2018-01-01T15:06:02.030000Z,1a
20180101T150734Z,2018-01-01T15:07:34.790000Z,2b
20180101T151135Z,2018-01-01T15:11:35.100000Z,1a
20180101T151238Z,2018-01-01T15:12:38.040000Z,1a
20180101T151500Z,2018-01-01T15:15:00.420000Z,1a
20180101T151759Z,2018-01-01T15:17:59.150000Z,1b
20180101T151814Z,2018-01-01T15:18:14.010000Z,1a
20180101T152159Z,2018-01-01T15:21:59.130000Z,1b
