event_id,baz,rad,slow,vel,baz_opt,rad_opt,slow_opt,vel_opt
20180109T173009Z,3.1415926535897936,0.8558976573957302,0.6314432989690723,1.5836734693877548,3.1577842073131235,0.894704158793675,0.6306052750848048,1.5857780445390635
20180109T173059Z,4.523893421169302,5.0874361239029895,0.5778301886792453,1.730612244897959,4.537421735502733,4.5725392958321605,0.5754187017759551,1.7378649614856623
20180109T173109Z,4.39822971502571,6.562682848061104,0.5717619603267211,1.7489795918367348,4.413932587595591,5.7199859434135165,0.5676166876920563,1.7617522910857768
20180109T173121Z,4.900884539600078,12.40330819986167,0.5778301886792453,1.730612244897959,4.875536766280438,7.799546215313574,0.5778129399156764,1.7306639068102834
20180109T173209Z,1.1309733552923256,6.562682848061104,0.5778301886792453,1.730612244897959,1.0910128508505972,7.206202499433248,0.5920554255316821,1.68903105499282
20180109T173241Z,5.906194188748811,2.086701861934038,0.5968331303288673,1.6755102040816325,5.945537246190784,2.2932222004254057,0.5920493067748593,1.6890485109211917
20180109T173253Z,4.39822971502571,3.0572719704105853,0.56,1.7857142857142856,4.387966728886161,3.222748820551975,0.5644973047068103,1.7714876433632964
20180109T173302Z,4.523893421169302,5.0874361239029895,0.5840286054827175,1.7122448979591838,4.516853760736977,5.844482853819052,0.5840269766623605,1.712249673319668
20180109T173311Z,4.39822971502571,2.086701861934038,0.4766536964980545,2.0979591836734692,4.404998012314673,2.001778552074085,0.4784571723744784,2.0900512266065916
20180109T173330Z,4.523893421169302,5.778168376825359,0.5840286054827175,1.7122448979591838,4.5491127601344665,4.043616129808299,0.5740174013419641,1.7421074651433115
20180109T173341Z,4.523893421169302,5.0874361239029895,0.5840286054827175,1.7122448979591838,4.55095776825358,3.6902278807099425,0.5746602100714346,1.7401587624723354
20180109T173417Z,4.523893421169302,5.778168376825359,0.5778301886792453,1.730612244897959,4.533088434614786,4.953609388695298,0.5771472221853351,1.7326601628845357
20180109T173443Z,0.12566370614359174,2.3700179062375537,0.5968331303288673,1.6755102040816325,0.11492868350131398,2.3081947788625223,0.5955023846177652,1.6792544007054977
20180109T173521Z,6.031857894892403,2.086701861934038,0.6102117061021171,1.6387755102040817,6.072167993325536,2.4158050888289746,0.5925732410605572,1.6875551083107487
20180109T173601Z,3.6442474781641603,5.778168376825359,0.5778301886792453,1.730612244897959,3.640368815715167,6.370809121807412,0.5806408132480598,1.7222351188268652
20180109T173634Z,4.272566008882119,5.778168376825359,0.5778301886792453,1.730612244897959,4.2930988843903215,5.04737398979889,0.5693099745075236,1.7565123478910427
20180109T173640Z,4.39822971502571,7.453712553094249,0.5778301886792453,1.730612244897959,4.427257580483606,5.809736442291637,0.5661367642195958,1.7663576421829326
20180109T173700Z,4.39822971502571,1.8372539081409522,0.5125523012552302,1.951020408163265,4.394164770397396,1.836544274908248,0.5141335748841582,1.9450198330760922
20180109T173753Z,5.403539364174445,3.0572719704105853,0.5717619603267211,1.7489795918367348,5.393706830381082,2.9265749000278873,0.572225440787238,1.7475629860571245
20180109T173806Z,5.529203070318037,3.472364426509674,0.5778301886792453,1.730612244897959,5.584460986232097,3.836843428511444,0.5816607074411821,1.7192153212465715
20180109T173816Z,5.152211951887261,8.465719296578376,0.5840286054827175,1.7122448979591838,5.140652945439237,8.077791735300359,0.5814394345701026,1.719869586656721
20180109T173847Z,5.152211951887261,3.0572719704105853,0.5840286054827175,1.7122448979591838,5.1715920049342845,3.063571442555264,0.5845539634149204,1.7107060469799487
20180109T173855Z,4.39822971502571,4.479275200528711,0.5778301886792453,1.730612244897959,4.427449215268357,3.727852592899929,0.5691088717964907,1.7571330365020086
20180109T173941Z,6.031857894892403,3.472364426509674,0.5840286054827175,1.7122448979591838,6.032293707260639,3.4212175546401657,0.5884254445371448,1.699450642870482
20180109T174000Z,4.272566008882119,3.472364426509674,0.6034482758620691,1.6571428571428568,4.240418825753835,4.237239735274867,0.6224618037889671,1.60652427813712
20180109T174033Z,4.649557127312894,4.479275200528711,0.5840286054827175,1.7122448979591838,4.66564829941724,4.27601241854021,0.5812884477020615,1.7203163144789495
20180109T174124Z,2.261946710584651,2.3700179062375537,0.5378704720087816,1.8591836734693876,2.2591778214765075,2.2322748799142227,0.5385520651848985,1.8568306848042162
20180109T174201Z,1.7592918860102844,5.0874361239029895,0.5903614457831325,1.693877551020408,1.7017940613650024,15.213178523258215,0.586361177796914,1.7054335073089537
20180109T174411Z,4.523893421169302,4.479275200528711,0.5658198614318707,1.76734693877551,4.496886506192746,5.912317280565233,0.57081125296761,1.7518925823572433
20180109T174434Z,4.272566008882119,5.0874361239029895,0.624203821656051,1.6020408163265305,4.28309498390151,4.582175307345839,0.6210541025146519,1.6101656779191924
20180109T174608Z,4.523893421169302,9.615128393797233,0.5968331303288673,1.6755102040816325,4.5740704712986116,3.3648093145245825,0.5773893977404987,1.7319334298712548
20180109T174638Z,2.7646015351590183,6.562682848061104,0.5542986425339367,1.804081632653061,2.806079516562434,5.591820801971323,0.5685610525951947,1.7588260670257025
20180109T174712Z,4.900884539600078,4.479275200528711,0.5840286054827175,1.7122448979591838,4.970775633467883,8.162043158928174,0.5782358264313081,1.729398204486376
20180109T174751Z,2.1362830044410597,16.0,0.5840286054827175,1.7122448979591838,2.19987442806502,7.510090417830078,0.5825052652310295,1.7167226799287152
20180109T174906Z,0.8796459430051422,16.0,0.5840286054827175,1.7122448979591838,0.8982315956614222,15.999998183737109,0.5720678167755682,1.7480444987037556
20180109T174927Z,5.277875658030853,2.6918003852647128,0.5903614457831325,1.693877551020408,5.28492867117093,2.745421951685888,0.5891451423585037,1.697374599401322
20180109T174933Z,5.403539364174445,3.0572719704105853,0.5840286054827175,1.7122448979591838,5.436814822325902,3.477178910196896,0.5858292991797625,1.706981882606641
20180109T175003Z,0.0,2.6918003852647128,0.5840286054827175,1.7122448979591838,6.270880488059944,2.5219375338061853,0.5916113683848037,1.6902988235844156
20180109T175202Z,2.5132741228718345,4.479275200528711,0.7142857142857143,1.4,2.486053774524671,4.781994522045379,0.7025653229572554,1.4233551917859755
20180109T175226Z,2.7646015351590183,6.562682848061104,0.5840286054827175,1.7122448979591838,2.738030806536508,6.959088060968539,0.5693637809042804,1.756346352786562
20180109T175332Z,6.031857894892403,2.3700179062375537,0.5903614457831325,1.693877551020408,6.019729414324361,2.3159697919627567,0.5893439995696541,1.6968018690785207
