event_id,R_corr,P_corr,S_corr
20180118T000054Z,0.9686547329763695,0.008638223179370283,-0.335034485371764
20180118T000142Z,0.631084425052164,-0.19235067260258382,0.060484893589148665
20180118T000321Z,0.25054113374673204,-0.24061102457902672,0.19260660655212913
20180118T000516Z,-0.5290549247742826,0.11851148193711816,0.15836610818470262
20180118T000537Z,0.7282532514148171,0.017756492229005265,-0.08648255182528115
20180118T000619Z,0.38875196275244606,-0.10814648594776881,-0.008550815200365932
20180118T000738Z,0.893134556571812,-0.009126815320314684,-0.016995391807740314
20180118T000814Z,0.12389885671368953,-0.02955403479177519,0.1986974703108943
20180118T000841Z,0.8863174296426767,-0.0030732179591478922,-0.23140569889536017
20180118T001039Z,-0.6505404041528956,-0.21419052225318203,0.04215301266870951
20180118T001139Z,0.8823258923950404,0.09362741166329687,0.005385201976159091
20180118T001206Z,0.03812606575596906,-0.1277410237325903,0.19020940222586888
20180118T001230Z,0.7067210111685811,-0.03656585010684382,0.028927202385141487
20180118T001240Z,0.41695729251833663,0.02588675058553336,0.07869411996022088
20180118T001323Z,-0.3796179148130301,0.12673513264567338,-0.06755657686771264
20180118T001337Z,-0.6468584175561459,0.30371797699713265,0.30580392955863656
20180118T001355Z,0.03918221461019351,-0.24111607695650436,0.22706680338489454
20180118T001423Z,0.4690558762691184,0.12334585133253723,-0.007784138407858408
20180118T001715Z,-0.2729099389792024,0.002340184949434476,0.12850241661581463
20180118T001735Z,-0.24718776358529332,0.13789463364348845,-0.03329161956535246
20180118T001831Z,0.6335108158684531,-0.11171837606295959,-0.06991984117992167
20180118T001931Z,0.7134916753172343,0.0036505019214136377,-0.06615259425489554
20180118T002010Z,-0.6850026919910464,0.17574829033111783,-0.03936434175612023
20180118T002059Z,-0.9377959132476715,0.13608113468244226,-0.06495129307881597
20180118T002207Z,-0.3731367862855841,0.17984913876286895,-0.006803111153382168
20180118T002222Z,0.5668867940654951,0.2249547381096678,0.24101698459650475
20180118T002246Z,-0.051909197855454406,0.09153504262919078,0.1551555649131071
20180118T002304Z,0.9137496966905495,-0.10177015694208606,0.017351472856101405
20180118T002322Z,0.8324593555608025,0.009807153831444851,-0.10748191479960499
20180118T002349Z,0.8672742054035897,-0.13738091631655835,-0.09087140250956352
20180118T002358Z,0.42423871730170304,-0.25305654040110764,-0.21608303156407346
20180118T002407Z,0.35829918112606524,0.3867362233875116,0.46131394627661354
20180118T002426Z,0.634855189686223,-0.21890851585628063,0.010888413581791595
20180118T002454Z,0.5448787176413861,-0.19179974461184957,0.14239256407659154
20180118T002500Z,0.821204869922542,-0.1136849104884069,0.059123044003909754
20180118T002520Z,0.72768770083871,-0.08555720075469664,-0.019989216197608642
20180118T002532Z,-0.902790678710743,0.12028498583675416,-0.1725045932971253
20180118T002557Z,-0.5997774085758519,0.06362522823116164,0.026636653960998388
20180118T002616Z,0.6464135668014144,-0.08653443550462034,0.11373527243252064
20180118T002627Z,0.34734017565416575,0.29034606511763605,-0.2805135678342383
20180118T002638Z,-0.3699001090864067,0.13068008639927325,-0.24379954063489478
20180118T002654Z,-0.9416067203574031,0.08679540532840402,-0.01536481009603691
20180118T002724Z,-0.2244346545979357,-0.22299875534608,-0.00043378179803536826
20180118T002753Z,0.22954442890952037,-0.08992382392377098,0.3677047134003948
20180118T002802Z,0.6440299759249922,-0.009981930946032634,-0.07867662732606527
20180118T002808Z,0.1980140923207901,0.23170795959822754,0.2596110548038994
20180118T002818Z,0.7776061052252619,0.1457843032568563,-0.038672902008378925
20180118T002826Z,-0.7343355360534459,0.1866402359402427,0.001995152023437098
20180118T002906Z,0.3152699163003824,-0.026363031423979107,-0.06911513454927036
20180118T002914Z,0.6297048124966436,-0.08171517130645897,-0.02830248268515284
20180118T002958Z,0.8492557571060498,-0.08564389344874111,-0.06624081072890231
20180118T003038Z,-0.8115857131514101,-0.02643708616929924,0.16506973300129066
20180118T003049Z,0.9435621404695173,0.01210135465500838,0.1793756737202359
20180118T003127Z,0.33787606621166605,0.06928105378432596,0.06451324034238645
20180118T003144Z,0.12618062616541809,-0.37734435972276414,-0.18228018858263992
20180118T003202Z,0.686257645458739,-0.07799066740606873,0.10688713878361543
20180118T003217Z,-0.05795752051214323,0.18426638157789613,-0.11270974485482389
20180118T003234Z,0.8779461788967683,0.03440205239668638,0.09298319607451898
