event_id,similarity,baz,rad,slow,vel,baz_opt,rad_opt,slow_opt,vel_opt
20180102T102606Z,0.8629250872377355,0.0,2.3700179062375537,0.5717619603267211,1.7489795918367348,0.028214692714450186,2.503065072109165,0.5740351190708373,1.7420536945869294
20180102T102653Z,0.8831212513615224,0.5026548245743669,5.0874361239029895,0.5778301886792453,1.730612244897959,0.48617254857179754,4.764745924739234,0.5792233937856555,1.7264496060220507
20180102T102807Z,0.8417892351580583,4.775220833456486,9.615128393797233,0.5717619603267211,1.7489795918367348,4.776046813611599,9.239666291918683,0.5713173716260733,1.750340615678844
20180102T102817Z,0.749817241208794,4.900884539600078,2.3700179062375537,0.5778301886792453,1.730612244897959,4.848302436096404,2.864151624164676,0.5800773454588313,1.7239080405889962
20180102T103108Z,0.88069945613404,4.272566008882119,9.615128393797233,0.5840286054827175,1.7122448979591838,4.305829889668219,8.731012678055643,0.5809903506560277,1.721198981826197
20180102T103252Z,0.6636725190179257,5.6548667764616285,3.472364426509674,0.5778301886792453,1.730612244897959,5.654006828316588,3.5600266186459253,0.5740544872154032,1.7419949190724968
20180102T103353Z,0.773202540939634,0.8796459430051422,14.087332295285256,0.5840286054827175,1.7122448979591838,0.865142154594706,14.227890327858063,0.5870754184149449,1.703358663355242
20180102T103434Z,0.6579672936375833,3.392920065876977,10.920595260767984,0.5658198614318707,1.76734693877551,3.4096864385833108,15.999934970989528,0.5679929514939666,1.7605852279852146
20180102T103606Z,0.9139335162269524,4.272566008882119,5.778168376825359,0.5778301886792453,1.730612244897959,4.237747295557871,6.315965398003968,0.5819792919006042,1.7182741962076364
20180102T103754Z,0.7753037544456548,3.392920065876977,16.0,0.5658198614318707,1.76734693877551,3.4180595814800423,16.0,0.5688473001410754,1.7579410146659704
20180102T103917Z,0.844113418580729,4.272566008882119,9.615128393797233,0.5840286054827175,1.7122448979591838,4.297860814257088,8.710865908294183,0.5813241611865085,1.7202106273356252
20180102T104100Z,0.7820119912777543,5.403539364174445,5.778168376825359,0.5658198614318707,1.76734693877551,5.424794939317656,4.506038737425091,0.5763703206091885,1.7349956516551037
20180102T104238Z,0.8170342936764143,5.6548667764616285,3.943814886992401,0.5717619603267211,1.7489795918367348,5.630669533509327,3.609615018291687,0.5732185406455466,1.7445353370353673
20180102T104446Z,0.8408380907862748,5.026548245743669,5.778168376825359,0.5778301886792453,1.730612244897959,5.0556586308269145,4.323253298762299,0.5796861733641427,1.7250713333330236
20180102T104506Z,0.8376320777974036,4.523893421169302,4.479275200528711,0.5903614457831325,1.693877551020408,4.542599282034052,4.076647512532931,0.5870698551766796,1.7033748048586967
20180102T104703Z,0.7742604400836206,5.152211951887261,5.778168376825359,0.5778301886792453,1.730612244897959,5.173966671948882,5.05349709244355,0.5825665932298547,1.7165419569560603
20180102T104928Z,0.836474580837756,0.8796459430051422,5.778168376825359,0.5840286054827175,1.7122448979591838,0.836150452357337,6.171003231896812,0.5877409545584871,1.7014298429334456
20180102T105043Z,0.6934867030240365,2.387610416728243,3.472364426509674,0.5778301886792453,1.730612244897959,2.442530805743732,5.072411342258114,0.576852032737811,1.733546807929022
20180102T105105Z,0.8451263550596952,1.3823007675795091,5.778168376825359,0.5778301886792453,1.730612244897959,1.4331904902356718,8.684570650113312,0.5820547443012292,1.7180514544220824
20180102T105231Z,0.656938720932211,1.6336281798666925,5.0874361239029895,0.5778301886792453,1.730612244897959,1.6625860459756896,6.612043888902695,0.5755165745401016,1.7375694189157025
20180102T105418Z,0.9072796619396848,1.5079644737231008,8.465719296578376,0.5840286054827175,1.7122448979591838,1.5147578846675196,8.92318510877565,0.5822040311647503,1.7176109172576703
20180102T105444Z,0.9247697548817576,1.5079644737231008,8.465719296578376,0.5840286054827175,1.7122448979591838,1.5123951086260712,9.214719209667795,0.581430790043746,1.7198951571256855
20180102T105728Z,0.8851927412250337,4.1469023027385274,6.562682848061104,0.5840286054827175,1.7122448979591838,4.172515217790435,5.406861687200482,0.583450996308398,1.7139399989496706
20180102T105751Z,0.7897530638833005,4.900884539600078,9.615128393797233,0.5840286054827175,1.7122448979591838,4.934099849072798,6.066669096021458,0.5793209838988929,1.7261587751748466
20180102T110214Z,0.7671951483360202,4.272566008882119,8.465719296578376,0.6034482758620691,1.6571428571428568,4.3037094716929625,8.122387637714526,0.589329261505851,1.696844303038348
20180102T110312Z,0.7885473377964805,4.523893421169302,5.0874361239029895,0.5903614457831325,1.693877551020408,4.529743344674509,4.689014189736769,0.5890513688958843,1.6976448113080467
20180102T110429Z,0.8677955818966091,4.272566008882119,5.0874361239029895,0.5778301886792453,1.730612244897959,4.238085579089706,5.901869439885781,0.5812705556650237,1.7203692673817164
20180102T110522Z,0.7644191247101092,5.403539364174445,9.615128393797233,0.4454545454545455,2.2448979591836733,5.402467254536353,9.346036661195326,0.44445900170165664,2.249926306299114
20180102T110902Z,0.9735379592173026,0.7539822368615504,5.778168376825359,0.5903614457831325,1.693877551020408,0.7730977395233909,5.606439664883684,0.5878285883380803,1.701176192922529
20180102T110957Z,0.8007223560844452,2.261946710584651,3.0572719704105853,0.5840286054827175,1.7122448979591838,2.2934108847239036,3.6654843160652653,0.5820020523590818,1.7182069993509632
20180102T111120Z,0.768822687397592,4.39822971502571,3.0572719704105853,0.56,1.7857142857142856,4.410063941089744,2.9045005565192064,0.5573212811966566,1.7942971742490121
20180102T111304Z,0.817102377087881,5.7805304826052195,3.0572719704105853,0.5717619603267211,1.7489795918367348,5.782057259337872,2.9776354708122534,0.5768196482862062,1.7336441346460865
20180102T111322Z,0.806729230990798,4.900884539600078,7.453712553094249,0.5778301886792453,1.730612244897959,4.940260052828308,5.62280023605582,0.5792903674669172,1.7262500054553542
20180102T111527Z,0.7377447443666185,4.272566008882119,5.0874361239029895,0.5968331303288673,1.6755102040816325,4.225519165370761,9.05682243142015,0.589270923951964,1.6970122898538222
20180102T111851Z,0.8127448771982402,4.0212385965949355,3.0572719704105853,0.5658198614318707,1.76734693877551,4.019049503117632,2.95954579989893,0.566666648477853,1.7647059389963073
20180102T111928Z,0.8859997848468805,5.152211951887261,2.3700179062375537,0.5903614457831325,1.693877551020408,5.12503850404799,2.815720890561752,0.5802466165214404,1.7234051376205648
