,event_id,stations,ref_time,ref_duration,group
135,20180211T030524Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T03:05:24.350000Z,3.451988,8c
136,20180211T030625Z,"['2A.BBS06.', '2A.BBS09.']",2018-02-11T03:06:25.100000Z,1.051989,3b
137,20180211T030821Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-02-11T03:08:21.540000Z,6.471988,2a
138,20180211T030856Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-11T03:08:56.620000Z,3.511988,3d
139,20180211T030948Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-02-11T03:09:48.580000Z,1.611988,1a
140,20180211T031005Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T03:10:05.130000Z,3.051989,2c
141,20180211T031106Z,"['2A.BBS06.', '2A.BBS09.']",2018-02-11T03:11:06.530000Z,1.051989,3b
142,20180211T031207Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-02-11T03:12:07.950000Z,6.471988,2a
143,20180211T031235Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T03:12:35.300000Z,14.651988,4b
144,20180211T031332Z,"['2A.BBS05.', '2A.BBS06.']",2018-02-11T03:13:32.090000Z,0.821989,3c
145,20180211T031539Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-02-11T03:15:39.980000Z,7.461988,5c
146,20180211T031557Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-02-11T03:15:57.780000Z,2.661988,1d
147,20180211T031611Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T03:16:11.190000Z,14.651988,4b
148,20180211T031842Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T03:18:42.780000Z,14.651988,4b
149,20180211T032128Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T03:21:28.110000Z,14.651988,4b
150,20180211T032217Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-11T03:22:17.950000Z,3.511988,3d
151,20180211T032251Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-02-11T03:22:51.560000Z,2.661988,1d
152,20180211T032349Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T03:23:49.780000Z,8.961989,1c
153,20180211T032429Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T03:24:29.870000Z,3.051989,2c
154,20180211T033143Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-11T03:31:43.980000Z,2.571988,7d
155,20180211T033435Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T03:34:35.850000Z,3.051989,2c
156,20180211T034224Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-02-11T03:42:24.270000Z,2.661988,1d
157,20180211T034404Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-11T03:44:04.060000Z,3.511988,3d
158,20180211T034625Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T03:46:25.300000Z,14.651988,4b
159,20180211T034650Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T03:46:50.220000Z,8.961989,1c
160,20180211T034752Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T03:47:52.270000Z,5.901988,6a
161,20180211T034827Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-02-11T03:48:27.510000Z,2.661988,1d
162,20180211T034841Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-11T03:48:41.470000Z,3.511988,3d
163,20180211T035814Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T03:58:14.610000Z,3.051989,2c
164,20180211T035843Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-11T03:58:43.790000Z,3.511988,3d
165,20180211T040009Z,"['2A.BBS05.', '2A.BBS06.']",2018-02-11T04:00:09.330000Z,0.821989,3c
166,20180211T040208Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-02-11T04:02:08.810000Z,1.611988,1a
167,20180211T040448Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T04:04:48.060000Z,8.961989,1c
168,20180211T040548Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-11T04:05:48.520000Z,2.571988,7d
169,20180211T041216Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-02-11T04:12:16.270000Z,1.611988,1a
170,20180211T041416Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T04:14:16.240000Z,5.901988,6a
171,20180211T041613Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T04:16:13.480000Z,5.901988,6a
172,20180211T041732Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T04:17:32.230000Z,5.901988,6a
173,20180211T041746Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T04:17:46.520000Z,3.451988,8c
174,20180211T042441Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-02-11T04:24:41.950000Z,1.611988,1a
175,20180211T043614Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-02-11T04:36:14.290000Z,8.911989,4d
176,20180211T043651Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T04:36:51.970000Z,3.051989,2c
177,20180211T043718Z,"['2A.BBS06.', '2A.BBS09.']",2018-02-11T04:37:18.040000Z,1.051989,3b
178,20180211T044132Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T04:41:32.280000Z,7.541989,8d
179,20180211T044200Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-11T04:42:00.650000Z,3.511988,3d
180,20180211T044447Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T04:44:47.150000Z,3.051989,2c
181,20180211T044620Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T04:46:20.270000Z,3.051989,2c
182,20180211T044743Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T04:47:43.220000Z,7.541989,8d
183,20180211T045532Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-11T04:55:32.190000Z,2.101988,7b
