event_id,R_corr,P_corr
20180120T000031Z,-0.3193015529030398,-0.13134732991706133
20180120T000048Z,0.864177154307545,-0.015461982967664694
20180120T000116Z,0.8340500977032229,0.017221240648495877
20180120T000147Z,0.7863151114483876,-0.0229437405126544
20180120T000216Z,-0.07963667099958992,0.024776496232926982
20180120T000241Z,0.5621745763073035,0.023278573418722106
20180120T000252Z,0.2858142936550751,0.08156412693452728
20180120T000300Z,0.6853171191105444,-0.05608224704066354
20180120T000347Z,0.6524980670320439,-0.03608833763753588
20180120T000411Z,0.22314918101742315,0.08191800543468847
20180120T000422Z,0.910447383413371,0.027808340446293704
20180120T000454Z,-0.7083860360382466,-0.031831105544301866
20180120T000503Z,0.6359334938051924,-0.023012153954497547
20180120T000521Z,0.33860468161469703,0.028064247161171552
20180120T000530Z,0.2900869074567836,0.10198682564744312
20180120T000550Z,0.20637550923018289,-0.06381875013871009
20180120T000605Z,-0.638094946367205,-0.020344815660532357
20180120T000619Z,0.5113034266258207,-0.03170015543308906
20180120T000652Z,0.6674115884427273,0.03435151127324581
20180120T000714Z,-0.5905128950846021,0.0575029228552204
20180120T000742Z,0.24096003301374383,0.07186454939700383
20180120T000749Z,0.9435000845374636,0.11358948227062632
20180120T000815Z,0.82439961187295,0.025658841424561027
20180120T000842Z,0.8892008625289648,0.03584749565508419
20180120T000851Z,0.9041159418166286,0.06993212474301393
20180120T000910Z,-0.6760156543176263,-0.077039151044895
20180120T000956Z,0.7963071708953501,-0.01861205191650184
20180120T001018Z,0.8887088609216026,0.12849074318868062
20180120T001104Z,0.6804503519149293,0.11961495818767916
20180120T001148Z,0.8291218621531585,-0.05899804993286093
20180120T001215Z,-0.04144957452970892,0.040738379323141775
20180120T001315Z,0.10402502473288502,-0.06467256872561067
20180120T001323Z,0.9773900696610891,0.05730879782174312
20180120T001405Z,-0.3577179699719593,0.035947735299301245
20180120T001412Z,0.4294253454210705,-0.007369378743092494
20180120T001432Z,0.624482507159352,0.041671791299834636
20180120T001457Z,0.49137279305792286,-0.0022690051590737994
20180120T001525Z,0.48549621238320506,0.02550546972488491
20180120T001543Z,0.6704763862145647,0.03911742120849141
20180120T001612Z,0.5540973847188916,0.06040689432706278
20180120T001620Z,0.8461271774252779,0.025492601892610302
20180120T001741Z,0.8825165782391335,-0.013722296261399876
20180120T001825Z,0.5207491065233417,0.07880665900814517
20180120T001833Z,0.9072215534332524,0.01959735773434665
20180120T001855Z,0.5314005792420683,-0.052981804983504834
20180120T001921Z,0.5063048377421405,-0.059640273107654955
20180120T001939Z,0.8037310373307686,0.02220108300086569
20180120T001959Z,0.8631508581916193,-0.0825170378492205
20180120T002040Z,0.5292654643701278,-0.007802315947005969
20180120T002106Z,0.2319054246063204,-0.05248044169506978
20180120T002146Z,0.6847029804229953,0.058790838629075415
20180120T002233Z,0.9317797238461278,0.07719169991734245
20180120T002255Z,0.11404338563187195,0.030576078057024635
20180120T002335Z,-0.2480672470455593,-0.02034469639199911
20180120T002402Z,0.4001118939749031,-0.0031016281909620053
20180120T002418Z,-0.8018286917581412,-0.06195680321930657
20180120T002426Z,0.916377263810708,-0.043500668013504544
20180120T002446Z,0.26604626778891227,0.03661038984481873
20180120T002523Z,0.8283027604853934,0.029927272776580374
20180120T002553Z,-0.4647348668260577,-0.03166357554128529
20180120T002645Z,0.8199851662904961,0.05195067867988078
20180120T002721Z,0.05907422271779306,-0.03716652613401927
20180120T002728Z,-0.030067763336540557,0.2057015646100497
20180120T002746Z,0.6523450194829662,0.07107713750282524
20180120T002809Z,0.1578027234216631,0.0020408369399978186
20180120T002829Z,0.7756932062272404,-0.06253876142553075
20180120T002842Z,0.8785400569837131,0.0948982818067617
20180120T003006Z,-0.7455347139389844,0.22521988398477621
20180120T003046Z,-0.6289168632513096,-0.07696822077479537
20180120T003110Z,0.9508940549562325,-0.023671001273459242
20180120T003135Z,0.3728311538019568,0.09638702924007257
20180120T003147Z,0.6493667304486072,0.0012730126801818412
20180120T003211Z,0.30765457712162925,-0.08978979621110646
20180120T003229Z,0.5551202111454913,0.08541666625196735
20180120T003254Z,0.6532551214959211,0.04408159530112619
20180120T003310Z,0.7702101408893697,-0.04821582124859595
20180120T003317Z,0.8666505480532664,0.048551630025263595
20180120T003333Z,0.8140370989739157,0.04627050704002989
20180120T003347Z,0.4994954892156617,0.04024269386669178
20180120T003402Z,0.5884023624822349,0.05457672627294244
20180120T003441Z,0.025567283575119573,0.046121991329085975
