,event_id,stations,ref_time,ref_duration,group
76,20180208T214215Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-08T21:42:15.250000Z,14.651988,4b
77,20180208T214324Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-02-08T21:43:24.410000Z,6.471988,2a
78,20180208T214628Z,"['2A.BBS06.', '2A.BBS09.']",2018-02-08T21:46:28.150000Z,1.051989,3b
79,20180208T215737Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-08T21:57:37.790000Z,3.511988,3d
80,20180208T220423Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-08T22:04:23.490000Z,7.541989,8d
81,20180208T221258Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-02-08T22:12:58.250000Z,7.461988,5c
82,20180208T223355Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-08T22:33:55.390000Z,3.511988,3d
83,20180208T223528Z,"['2A.BBS06.', '2A.BBS09.']",2018-02-08T22:35:28.620000Z,1.051989,3b
84,20180208T223946Z,"['2A.BBS06.', '2A.BBS09.']",2018-02-08T22:39:46.940000Z,1.051989,3b
85,20180208T231253Z,"['2A.BBS06.', '2A.BBS09.']",2018-02-08T23:12:53.280000Z,1.051989,3b
86,20180208T231607Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-08T23:16:07.640000Z,14.651988,4b
87,20180208T232024Z,"['2A.BBS05.', '2A.BBS06.']",2018-02-08T23:20:24.980000Z,0.821989,3c
88,20180208T233229Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-08T23:32:29.630000Z,14.651988,4b
89,20180208T234246Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-02-08T23:42:46.370000Z,4.501988,5a
90,20180208T235339Z,"['2A.BBS05.', '2A.BBS06.']",2018-02-08T23:53:39.800000Z,0.821989,3c
