,event_id,stations,ref_time,ref_duration,group
0,20180128T000445Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-28T00:04:45.080000Z,3.051989,2c
1,20180128T000539Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-28T00:05:39.870000Z,3.051989,2c
2,20180128T000858Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-01-28T00:08:58.430000Z,0.891988,1b
3,20180128T001122Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T00:11:22.720000Z,14.651988,4b
4,20180128T001230Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-28T00:12:30.680000Z,5.901988,6a
5,20180128T001441Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T00:14:41.410000Z,2.031988,2b
6,20180128T001500Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T00:15:00.790000Z,2.661988,1d
7,20180128T001716Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-01-28T00:17:16.260000Z,3.511988,3d
8,20180128T001754Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T00:17:54.930000Z,14.651988,4b
9,20180128T002521Z,"['2A.BBS05.', '2A.BBS06.']",2018-01-28T00:25:21.060000Z,0.821989,3c
10,20180128T002605Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-28T00:26:05.030000Z,8.961989,1c
11,20180128T003542Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T00:35:42.850000Z,10.731988,6c
12,20180128T004212Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-28T00:42:12.500000Z,5.901988,6a
13,20180128T004347Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T00:43:47.770000Z,14.651988,4b
14,20180128T004447Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-28T00:44:47.920000Z,8.961989,1c
15,20180128T004528Z,"['2A.BBS05.', '2A.BBS06.']",2018-01-28T00:45:28.410000Z,0.821989,3c
16,20180128T004941Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T00:49:41.360000Z,5.841988,5b
17,20180128T004959Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-01-28T00:49:59.230000Z,3.511988,3d
18,20180128T005337Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-01-28T00:53:37.190000Z,6.471988,2a
19,20180128T005756Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T00:57:56.830000Z,14.651988,4b
20,20180128T005933Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T00:59:33.130000Z,14.651988,4b
21,20180128T010135Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T01:01:35.280000Z,14.151989,6b
22,20180128T010442Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-01-28T01:04:42.260000Z,1.611988,1a
23,20180128T010622Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-28T01:06:22.620000Z,8.961989,1c
24,20180128T010711Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T01:07:11.860000Z,7.541989,8d
25,20180128T011540Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T01:15:40.770000Z,10.731988,6c
26,20180128T011902Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-28T01:19:02.140000Z,8.961989,1c
27,20180128T012231Z,"['2A.BBS05.', '2A.BBS06.']",2018-01-28T01:22:31.930000Z,0.821989,3c
28,20180128T012508Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T01:25:08.240000Z,14.651988,4b
29,20180128T012818Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T01:28:18.720000Z,5.841988,5b
30,20180128T013417Z,"['2A.BBS05.', '2A.BBS06.']",2018-01-28T01:34:17.290000Z,0.821989,3c
31,20180128T013532Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-28T01:35:32.570000Z,8.961989,1c
32,20180128T013618Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T01:36:18.810000Z,7.461988,5c
33,20180128T014022Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-01-28T01:40:22.600000Z,5.761988,2d
34,20180128T014523Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T01:45:23.990000Z,7.461988,5c
35,20180128T014722Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T01:47:22.690000Z,7.461988,5c
36,20180128T015939Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-01-28T01:59:39.690000Z,3.511988,3d
37,20180128T020139Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-28T02:01:39.200000Z,3.051989,2c
38,20180128T020934Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-01-28T02:09:34.350000Z,3.511988,3d
39,20180128T021044Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T02:10:44.570000Z,14.651988,4b
40,20180128T021100Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-28T02:11:00.830000Z,3.051989,2c
41,20180128T021317Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T02:13:17.490000Z,14.651988,4b
42,20180128T021426Z,"['2A.BBS05.', '2A.BBS06.']",2018-01-28T02:14:26.720000Z,0.821989,3c
43,20180128T022222Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T02:22:22.120000Z,14.651988,4b
44,20180128T022247Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-01-28T02:22:47.250000Z,3.511988,3d
45,20180128T022713Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T02:27:13.760000Z,7.461988,5c
46,20180128T023321Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-01-28T02:33:21.410000Z,6.471988,2a
47,20180128T023503Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T02:35:03.430000Z,5.931988,6d
48,20180128T023827Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T02:38:27.900000Z,3.451988,8c
49,20180128T024223Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-01-28T02:42:23.740000Z,6.471988,2a
50,20180128T024505Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-01-28T02:45:05.780000Z,8.911989,4d
51,20180128T024530Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T02:45:30.670000Z,4.501988,5a
52,20180128T024543Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T02:45:43.370000Z,14.151989,6b
53,20180128T025149Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T02:51:49.580000Z,2.031988,2b
54,20180128T025206Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T02:52:06.190000Z,7.461988,5c
55,20180128T025954Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-28T02:59:54.530000Z,3.051989,2c
56,20180128T030237Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T03:02:37.390000Z,14.651988,4b
57,20180128T030932Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-01-28T03:09:32.230000Z,3.511988,3d
58,20180128T031229Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T03:12:29.900000Z,14.651988,4b
59,20180128T031357Z,"['2A.BBS05.', '2A.BBS06.']",2018-01-28T03:13:57.090000Z,0.821989,3c
60,20180128T031534Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-28T03:15:34.120000Z,8.961989,1c
61,20180128T032831Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T03:28:31.410000Z,14.651988,4b
62,20180128T033251Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T03:32:51.590000Z,14.651988,4b
63,20180128T033529Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-01-28T03:35:29.160000Z,3.511988,3d
64,20180128T035027Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-01-28T03:50:27.260000Z,5.761988,2d
65,20180128T040105Z,"['2A.BBS05.', '2A.BBS06.']",2018-01-28T04:01:05.370000Z,0.821989,3c
66,20180128T040938Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-28T04:09:38.540000Z,3.051989,2c
67,20180128T041054Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T04:10:54.050000Z,7.461988,5c
68,20180128T042617Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T04:26:17.030000Z,2.661988,1d
69,20180128T043426Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-01-28T04:34:26.600000Z,3.511988,3d
70,20180128T044348Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-01-28T04:43:48.290000Z,3.511988,3d
71,20180128T044741Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-01-28T04:47:41.320000Z,3.511988,3d
72,20180128T045314Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T04:53:14.990000Z,4.501988,5a
73,20180128T051222Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-01-28T05:12:22.610000Z,1.611988,1a
74,20180128T051917Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T05:19:17.160000Z,7.461988,5c
75,20180128T052809Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-01-28T05:28:09.080000Z,1.611988,1a
76,20180128T054413Z,"['2A.BBS06.', '2A.BBS09.']",2018-01-28T05:44:13.500000Z,1.051989,3b
77,20180128T055338Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-28T05:53:38.810000Z,3.051989,2c
78,20180128T061807Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-28T06:18:07.740000Z,7.461988,5c
79,20180128T062157Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-28T06:21:57.190000Z,14.651988,4b
80,20180128T065129Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-01-28T06:51:29.990000Z,6.471988,2a
81,20180128T070004Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-01-28T07:00:04.580000Z,5.761988,2d
82,20180128T082350Z,"['2A.BBS06.', '2A.BBS09.']",2018-01-28T08:23:50.080000Z,1.051989,3b
