,event_id,stations,ref_time,ref_duration,group
0,20180125T000244Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T00:02:44.960000Z,14.651988,4b
1,20180125T001552Z,"['2A.BBS06.', '2A.BBS09.']",2018-01-25T00:15:52.220000Z,1.051989,3b
2,20180125T001618Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T00:16:18.960000Z,14.651988,4b
3,20180125T001730Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-01-25T00:17:30.800000Z,1.611988,1a
4,20180125T001807Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T00:18:07.660000Z,3.451988,8c
5,20180125T001838Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T00:18:38.510000Z,14.651988,4b
6,20180125T002440Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T00:24:40.960000Z,14.651988,4b
7,20180125T003504Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T00:35:04.480000Z,14.651988,4b
8,20180125T003652Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-01-25T00:36:52.810000Z,8.911989,4d
9,20180125T004109Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T00:41:09.260000Z,4.501988,5a
10,20180125T004132Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-25T00:41:32.440000Z,8.961989,1c
11,20180125T004855Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T00:48:55.770000Z,14.651988,4b
12,20180125T005215Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T00:52:15.500000Z,14.651988,4b
13,20180125T005404Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T00:54:04.680000Z,14.651988,4b
14,20180125T005854Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-01-25T00:58:54.790000Z,6.471988,2a
15,20180125T005923Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T00:59:23.970000Z,14.651988,4b
16,20180125T005942Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T00:59:42.760000Z,14.651988,4b
17,20180125T011048Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T01:10:48.310000Z,14.651988,4b
18,20180125T011637Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-25T01:16:37.400000Z,5.901988,6a
19,20180125T011749Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T01:17:49.260000Z,10.731988,6c
20,20180125T012601Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T01:26:01.860000Z,7.461988,5c
21,20180125T013201Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T01:32:01.840000Z,7.461988,5c
22,20180125T013223Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T01:32:23.330000Z,14.651988,4b
23,20180125T013656Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T01:36:56.420000Z,14.151989,6b
24,20180125T013853Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-01-25T01:38:53.180000Z,8.911989,4d
25,20180125T014220Z,"['2A.BBS05.', '2A.BBS06.']",2018-01-25T01:42:20.910000Z,0.821989,3c
26,20180125T014329Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T01:43:29.360000Z,14.651988,4b
27,20180125T014613Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T01:46:13.250000Z,14.651988,4b
28,20180125T020102Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-01-25T02:01:02.180000Z,1.611988,1a
29,20180125T020451Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T02:04:51.520000Z,7.541989,8d
30,20180125T021553Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T02:15:53.660000Z,4.501988,5a
31,20180125T021827Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T02:18:27.040000Z,7.461988,5c
32,20180125T024105Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T02:41:05.780000Z,7.541989,8d
33,20180125T024148Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-01-25T02:41:48.340000Z,12.931988,3a
34,20180125T024244Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-01-25T02:42:44.540000Z,18.921988,8b
35,20180125T033601Z,"['2A.BBS06.', '2A.BBS09.']",2018-01-25T03:36:01.600000Z,1.051989,3b
36,20180125T034433Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-25T03:44:33.950000Z,3.051989,2c
37,20180125T035202Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-25T03:52:02.340000Z,3.051989,2c
38,20180125T040115Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T04:01:15.120000Z,14.651988,4b
39,20180125T042036Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T04:20:36.530000Z,14.651988,4b
40,20180125T053045Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-01-25T05:30:45.490000Z,6.471988,2a
41,20180125T055105Z,"['2A.BBS06.', '2A.BBS09.']",2018-01-25T05:51:05.800000Z,1.051989,3b
42,20180125T055136Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T05:51:36.400000Z,2.031988,2b
43,20180125T064834Z,"['2A.BBS06.', '2A.BBS09.']",2018-01-25T06:48:34.430000Z,1.051989,3b
44,20180125T064903Z,"['2A.BBS06.', '2A.BBS09.']",2018-01-25T06:49:03.900000Z,1.051989,3b
45,20180125T070446Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-25T07:04:46.410000Z,3.051989,2c
46,20180125T071051Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-25T07:10:51.970000Z,3.051989,2c
47,20180125T071408Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-25T07:14:08.160000Z,3.051989,2c
48,20180125T093539Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T09:35:39.620000Z,7.541989,8d
49,20180125T100933Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T10:09:33.660000Z,14.651988,4b
50,20180125T102615Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-25T10:26:15.920000Z,5.901988,6a
51,20180125T104129Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T10:41:29.640000Z,2.031988,2b
52,20180125T110106Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-01-25T11:01:06.580000Z,3.511988,3d
53,20180125T114214Z,"['2A.BBS06.', '2A.BBS09.']",2018-01-25T11:42:14.720000Z,1.051989,3b
54,20180125T122825Z,"['2A.BBS06.', '2A.BBS09.']",2018-01-25T12:28:25.330000Z,1.051989,3b
55,20180125T144647Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-25T14:46:47.970000Z,8.961989,1c
56,20180125T152853Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-01-25T15:28:53.760000Z,6.471988,2a
57,20180125T152952Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T15:29:52.790000Z,2.031988,2b
58,20180125T154858Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-25T15:48:58.270000Z,8.961989,1c
59,20180125T155110Z,"['2A.BBS06.', '2A.BBS09.']",2018-01-25T15:51:10.240000Z,1.051989,3b
60,20180125T155954Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-25T15:59:54.580000Z,8.961989,1c
61,20180125T160032Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-25T16:00:32.080000Z,8.961989,1c
62,20180125T170356Z,"['2A.BBS06.', '2A.BBS09.']",2018-01-25T17:03:56.340000Z,1.051989,3b
63,20180125T171241Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T17:12:41.580000Z,14.651988,4b
64,20180125T184656Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-25T18:46:56.870000Z,3.051989,2c
65,20180125T184912Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T18:49:12.710000Z,2.031988,2b
66,20180125T185217Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T18:52:17.980000Z,14.151989,6b
67,20180125T185343Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T18:53:43.820000Z,3.451988,8c
68,20180125T185402Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T18:54:02.090000Z,3.451988,8c
69,20180125T185551Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-25T18:55:51.850000Z,3.051989,2c
70,20180125T190517Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-01-25T19:05:17.090000Z,2.571988,7d
71,20180125T191400Z,"['2A.BBS06.', '2A.BBS09.']",2018-01-25T19:14:00.080000Z,1.051989,3b
72,20180125T194643Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T19:46:43.690000Z,7.751988,8a
73,20180125T195032Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-25T19:50:32.160000Z,5.901988,6a
74,20180125T195104Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T19:51:04.580000Z,14.651988,4b
75,20180125T200720Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T20:07:20.690000Z,14.651988,4b
76,20180125T204519Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T20:45:19.430000Z,14.651988,4b
77,20180125T205246Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T20:52:46.950000Z,14.651988,4b
78,20180125T205918Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T20:59:18.400000Z,10.731988,6c
79,20180125T211630Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-01-25T21:16:30.630000Z,6.471988,2a
80,20180125T211725Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T21:17:25.160000Z,7.461988,5c
81,20180125T211938Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T21:19:38.500000Z,10.731988,6c
82,20180125T213755Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T21:37:55.010000Z,14.651988,4b
83,20180125T214140Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T21:41:40.330000Z,7.461988,5c
84,20180125T215017Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T21:50:17.730000Z,7.461988,5c
85,20180125T215736Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T21:57:36.120000Z,7.461988,5c
86,20180125T220121Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T22:01:21.380000Z,7.461988,5c
87,20180125T221015Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T22:10:15.610000Z,7.461988,5c
88,20180125T221447Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-25T22:14:47.440000Z,7.461988,5c
89,20180125T223935Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-25T22:39:35.180000Z,14.651988,4b
90,20180125T225212Z,"['2A.BBS06.', '2A.BBS09.']",2018-01-25T22:52:12.140000Z,1.051989,3b
